material_system,n_or_p,sample_count,ML_much_worse_count,ML_better_than_fitting_count,fitting_good_ML_bad_count,fitting_bad_ML_bad_count,both_good_count,both_poor_count,median_sigma_ML_log_rmse,median_sigma_fitting_log_rmse,median_zt_obs_ML_mape,median_zt_obs_fitting_mape,missing_additive_count,missing_structure_count,missing_sintering_count,nanocarbon_count,rare_metal_flag_count,toxicity_flag_count,manual_annotation_needed_count,step23_A_or_B_review_count,interpretation_step23
unknown,n,1586,161,31,455,6,215,39,0.7071246529028821,0.17898324597809506,0.5384497459424256,0.15872366989921693,1586,1585,1586,0,1304,931,1586,295,ML degradation exists; review annotations and tau_eff errors
unknown,p,1615,229,34,515,4,260,64,0.7644596671913325,0.2088578654217414,0.5847020517702621,0.18757086124232,1614,1615,1615,0,1423,1293,1615,416,ML degradation exists; review annotations and tau_eff errors
