sample_key,DOI,doi_url,paper_title,sample_id,composition,material_system,n_or_p,n_rows_step22,n_pf_eval_rows_step22,n_zt_obs_eval_rows_step22,n_zt_calc_eval_rows_step22,sigma_fitting_log_rmse_step22,sigma_ML_log_rmse_step22,sigma_log_rmse_gap_ML_minus_fitting_step22,pf_fitting_mape_step22,pf_ML_mape_step22,pf_mape_gap_ML_minus_fitting_step22,zt_obs_fitting_mape_step22,zt_obs_ML_mape_step22,zt_obs_mape_gap_ML_minus_fitting_step22,zt_calc_fitting_mape_step22,zt_calc_ML_mape_step22,zt_calc_mape_gap_ML_minus_fitting_step22,zt_obs_max_step22,zt_pred_fitting_max_step22,zt_pred_ML_max_step22,zt_calc_from_obs_max_step22,sintering_method,sintering_checked,record_checked,comparison_category_step22,comparison_note_step22,n_or_p_final_step17,n_or_p_source_step17,n_or_p_confidence_final_step17,additive_final_step17,additive_source_step17,additive_confidence_final_step17,structure_final_step17,structure_source_step17,structure_confidence_final_step17,sintering_method_final_step17,sintering_condition_final_step17,sintering_checked_final_step17,sintering_source_step17,sintering_confidence_final_step17,paper_checked_step17,manual_review_status_step17,step17_check_additive,step17_check_structure,step17_check_np_type,step17_check_sintering,nanocarbon_keyword_detected_step9,nanocarbon_type_auto_step9,rare_metal_flag_auto_step9,toxicity_flag_auto_step9,target_quality_step18,sigma_fit_log_rmse_step12,validation_sigma_log_rmse_step13,n_or_p_final_step17__step17,n_or_p_source_step17__step17,n_or_p_confidence_final_step17__step17,additive_final_step17__step17,additive_source_step17__step17,additive_confidence_final_step17__step17,structure_final_step17__step17,structure_source_step17__step17,structure_confidence_final_step17__step17,sintering_method_final_step17__step17,sintering_condition_final_step17__step17,sintering_checked_final_step17__step17,sintering_source_step17__step17,sintering_confidence_final_step17__step17,paper_checked_step17__step17,manual_review_status_step17__step17,step17_check_additive__step17,step17_check_structure__step17,step17_check_np_type__step17,step17_check_sintering__step17,nanocarbon_keyword_detected_step9__step17,nanocarbon_type_auto_step9__step17,rare_metal_flag_auto_step9__step17,toxicity_flag_auto_step9__step17,target_log_tau_eff_step18,pred_log_tau_eff_step19,residual_log_tau_eff_step19,abs_error_log_tau_eff_step19,tau_eff_ratio_pred_true_step19,residual_category_step19,manual_review_status_step17__step19,paper_checked_step17__step19,manual_review_priority_score_step15,manual_review_priority_tier_step15,pf_zt_problem_reason_step15,sintering_check_reason_step15,missing_additive_info_step23,missing_structure_info_step23,missing_sintering_info_step23,missing_np_paper_confirmation_step23,manual_annotation_needed_step23,error_pattern_step23,primary_error_source_hypothesis_step23,secondary_error_source_hypothesis_step23,error_cause_note_step23,step23_review_priority_score,step23_review_priority_tier,step23_review_reason,manual_review_note_step23
10.1016_j.mtphys.2020.100180__sample_34196,10.1016/j.mtphys.2020.100180,https://doi.org/10.1016/j.mtphys.2020.100180,,34196,Cu2.9Ag0.1ErTe3,unknown,p,13,3,1,2,0.4582890547126108,2.5514482802466176,2.093159225534007,0.3124323517632388,0.9441199104396492,0.6316875586764105,0.3684063354594601,0.9486690355039534,0.5802627000444933,0.315832480584598,0.9443962461624632,0.6285637655778651,0.8445995,0.1271509207205066,0.0103338265780293,0.2030206290830466,unknown,no,no,ML_much_worse,primary DOI test sample aggregate,p,,high,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,no,unknown,unknown,no,unknown,,,,,False,unknown,True,True,medium,0.4582890547126108,0.7332342711036869,,,,,,,,,,,,,,,,,,,,,,,,,1.1982146633672943,-2.516467382546565,-3.714682045913859,3.714682045913859,0.0243631862582806,large_under_prediction,unknown,no,10,low,no major issue,,True,True,True,True,True,both_poor,missing_additive_or_structure_annotation,possible_sintering_or_microstructure_effect; tau_eff_ML_prediction_error,candidate hypothesis only; no causal mechanism proven,90,A,ML much worse than fitting; missing additive info and ML bad; missing structure info and ML bad; missing sintering info for high-ZT/error sample; manual review not checked,check additive and structure; ML tau error may be large
10.1016_j.mtphys.2021.100497__sample_45593,10.1016/j.mtphys.2021.100497,https://doi.org/10.1016/j.mtphys.2021.100497,,45593,Ge0.86Al0.04Sb0.1Te,unknown,p,11,11,8,11,0.1249785963112946,0.5636663297819275,0.4386877334706328,0.1015218411145388,0.418352787747793,0.3168309466332542,0.1248591624967678,0.4240566487980017,0.2991974863012339,0.1015218411145378,0.4183527877477831,0.3168309466332452,1.599037,1.6425841202899014,0.948033316933384,1.6108015425958673,unknown,no,no,ML_moderately_worse,primary DOI test sample aggregate,p,,high,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,no,unknown,unknown,no,unknown,,,,,False,unknown,True,True,medium,0.1249785963112945,0.1228455656795881,,,,,,,,,,,,,,,,,,,,,,,,,1.0162835747798782,1.0120157589407812,-0.0042678158390969,0.0042678158390969,0.9957412783448872,good,unknown,no,65,B,manual review required; sintering check required later,high observed ZT; important candidate for paper; high predicted ZT,True,True,True,True,True,both_good,material_system_out_of_distribution,missing_additive_or_structure_annotation; possible_sintering_or_microstructure_effect,candidate hypothesis only; no causal mechanism proven,90,A,observed high ZT; ZT_ML false negative; missing sintering info for high-ZT/error sample; manual review not checked,check additive and structure; ML tau error may be large
10.1039_c8ta01463a__sample_45802,10.1039/c8ta01463a,https://doi.org/10.1039/c8ta01463a,,45802,(Zn0.993Al0.007O)93.18(ZrO2)6.82,unknown,n,14,14,1,2,0.4434592481812994,0.5377735438221222,0.0943142956408227,0.3222374079238489,0.5789218919482847,0.2566844840244358,0.4862821986856092,1.0147371621085162,0.528454963422907,0.4528199960355338,0.9693773083305904,0.5165573122950567,0.07735521,0.0257338764214143,0.034883683056409,0.0181928059751323,unknown,no,no,ML_much_worse,primary DOI test sample aggregate,n,,high,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,no,unknown,unknown,no,unknown,,,,,False,unknown,False,False,low,0.4434592481812994,0.8975529390278745,,,,,,,,,,,,,,,,,,,,,,,,,-1.560660426432923,0.2074664124805569,1.76812683891348,1.76812683891348,5.859866600520318,large_over_prediction,unknown,no,0,low,no major issue,,True,True,True,True,True,fitting_good_ML_bad,tau_eff_ML_prediction_error,missing_additive_or_structure_annotation; possible_sintering_or_microstructure_effect,candidate hypothesis only; no causal mechanism proven,90,A,ML much worse than fitting; missing additive info and ML bad; missing structure info and ML bad; missing sintering info for high-ZT/error sample; manual review not checked,check additive and structure; ML tau error may be large
10.1038_nature23667__sample_31356,10.1038/nature23667,https://doi.org/10.1038/nature23667,,31356,Ba0.3In0.3Co4Sb12,unknown,n,12,7,2,2,0.072025160224834,0.4275449893732919,0.3555198291484578,0.0590975150276663,0.3318364934583156,0.2727389784306492,0.0573553005057784,0.3062639873438425,0.248908686838064,0.1024610947601595,0.2766698539066192,0.1742087591464597,1.33125,1.4696543294219253,0.9642474331838408,1.237519844710408,unknown,no,no,ML_moderately_worse,primary DOI test sample aggregate,n,,high,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,no,unknown,unknown,no,unknown,,,,,False,unknown,True,True,medium,0.072025160224834,0.1121567023598094,,,,,,,,,,,,,,,,,,,,,,,,,0.8385069079468407,0.7126523701536179,-0.1258545377932227,0.1258545377932227,0.8817430977521651,good,unknown,no,75,B,manual review required; sintering check required later,high observed ZT; important candidate for paper; high predicted ZT,True,True,True,True,True,both_good,material_system_out_of_distribution,missing_additive_or_structure_annotation; possible_sintering_or_microstructure_effect,candidate hypothesis only; no causal mechanism proven,90,A,observed high ZT; ZT_ML false negative; missing sintering info for high-ZT/error sample; manual review not checked,check additive and structure; ML tau error may be large
10.1039_c8ta01463a__sample_45803,10.1039/c8ta01463a,https://doi.org/10.1039/c8ta01463a,,45803,(Zn0.993Al0.007O)85.86(ZrO2)14.14,unknown,n,14,13,2,2,0.3848446718113135,0.5059577973855658,0.1211131255742522,0.2488404488844763,0.5283046848190358,0.2794642359345594,0.3905790777249818,0.9312803078082924,0.5407012300833105,0.3519189520635263,0.8775878996717381,0.5256689476082118,0.07951046,0.0135489980593888,0.0188172780403398,0.0098046263368688,unknown,no,no,ML_much_worse,primary DOI test sample aggregate,n,,high,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,no,unknown,unknown,no,unknown,,,,,False,unknown,False,False,medium,0.3848446718113135,0.7972318208617081,,,,,,,,,,,,,,,,,,,,,,,,,-1.5849124051887304,0.2074664124805569,1.7923788176692874,1.7923788176692874,6.0037172416624855,large_over_prediction,unknown,no,0,low,no major issue,,True,True,True,True,True,both_poor,missing_additive_or_structure_annotation,possible_sintering_or_microstructure_effect; tau_eff_ML_prediction_error,candidate hypothesis only; no causal mechanism proven,90,A,ML much worse than fitting; missing additive info and ML bad; missing structure info and ML bad; missing sintering info for high-ZT/error sample; manual review not checked,check additive and structure; ML tau error may be large
10.1021_jacs.0c05650__sample_38450,10.1021/jacs.0c05650,https://doi.org/10.1021/jacs.0c05650,,38450,NaSn15BiTe17,unknown,p,13,12,1,1,0.2309025164885358,1.8548176374875949,1.6239151209990588,0.2125938842196058,0.8377492007860959,0.6251553165664901,0.0342856584825618,0.8358013363782324,0.8015156778956706,0.0149330112543725,0.8388736779372117,0.8239406666828392,0.7749101,0.5260591990459274,0.0835148556502343,0.5183191335906614,unknown,no,no,ML_much_worse,primary DOI test sample aggregate,p,,high,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,no,unknown,unknown,no,unknown,,,,,False,unknown,True,True,medium,0.2309025164885358,0.2904482105942162,,,,,,,,,,,,,,,,,,,,,,,,,1.1112066364512077,-0.9162063205090902,-2.0274129569602977,2.0274129569602977,0.1316757316742357,large_under_prediction,unknown,no,10,low,no major issue,,True,True,True,True,True,fitting_good_ML_bad,tau_eff_ML_prediction_error,missing_additive_or_structure_annotation; possible_sintering_or_microstructure_effect,candidate hypothesis only; no causal mechanism proven,90,A,ML much worse than fitting; missing additive info and ML bad; missing structure info and ML bad; missing sintering info for high-ZT/error sample; manual review not checked,check additive and structure; ML tau error may be large
10.1021_acsami.1c12282__sample_45831,10.1021/acsami.1c12282,https://doi.org/10.1021/acsami.1c12282,,45831,GeTe,unknown,p,9,6,6,6,0.3186976506843266,1.0645239104864364,0.7458262598021097,0.2913604577891406,0.5851742394723746,0.2938137816832339,0.3151949387700474,0.5675353457688891,0.2523404069988417,0.291360457789137,0.5851742394723679,0.2938137816832309,1.171598,1.756012269126141,0.6359389048489552,1.2091132796105757,unknown,no,no,ML_moderately_worse,primary DOI test sample aggregate,p,,high,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,no,unknown,unknown,no,unknown,,,,,False,unknown,True,True,medium,0.3186976506843266,0.3834307139454153,,,,,,,,,,,,,,,,,,,,,,,,,2.0872604866400764,1.6451320951512611,-0.4421283914888152,0.4421283914888152,0.6426671171703358,moderate_error,unknown,no,65,B,manual review required; sintering check required later,high observed ZT; important candidate for paper; high predicted ZT,True,True,True,True,True,fitting_good_ML_bad,insufficient_material_features,missing_additive_or_structure_annotation; possible_sintering_or_microstructure_effect,candidate hypothesis only; no causal mechanism proven,90,A,observed high ZT; ZT_ML false negative; missing sintering info for high-ZT/error sample; manual review not checked,check additive and structure; ML tau error may be large
10.15541_jim20140335__sample_16095,10.15541/jim20140335,https://doi.org/10.15541/jim20140335,,16095,C,unknown,p,6,6,3,3,0.2974459888469561,6.6464805490778,6.349034560230844,0.269949315246512,0.9986295232674514,0.7286802080209394,0.1344909167370833,0.998859330736268,0.8643684139991847,0.1385195704401856,0.9988722925650778,0.8603527221248921,0.0006811943,0.0003644553718543,4.764381360358179e-07,0.000468803350011,unknown,no,no,ML_much_worse,primary DOI test sample aggregate,p,,high,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,no,unknown,unknown,no,unknown,,,,,False,unknown,False,False,low,0.2974459888469561,,,,,,,,,,,,,,,,,,,,,,,,,,-0.4730711018951717,-8.723757787156003,-8.250686685260831,8.250686685260831,0.0002610792164834,large_under_prediction,unknown,no,0,low,no major issue,,True,True,True,True,True,fitting_good_ML_bad,tau_eff_ML_prediction_error,missing_additive_or_structure_annotation; possible_sintering_or_microstructure_effect,candidate hypothesis only; no causal mechanism proven,90,A,ML much worse than fitting; missing additive info and ML bad; missing structure info and ML bad; missing sintering info for high-ZT/error sample; manual review not checked,check additive and structure; ML tau error may be large
10.1007_s11664-010-1188-2__sample_4051,10.1007/s11664-010-1188-2,https://doi.org/10.1007/s11664-010-1188-2,,4051,In0.05Co3.5Fe0.5Sb12,unknown,p,9,8,6,6,0.0982499805269749,0.7195684527691801,0.6213184722422052,0.083153097001823,1.0700420212357808,0.9868889242339578,0.0989562152442288,0.95934968702817,0.8603934717839411,0.0881520614531716,1.11483173697071,1.0266796755175382,0.1311475,0.1468435443030827,0.2995247517361694,0.1298063849221696,unknown,no,no,ML_much_worse,primary DOI test sample aggregate,p,,high,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,no,unknown,unknown,no,unknown,,,,,False,unknown,True,True,medium,0.0982499805269749,0.1251355344127949,,,,,,,,,,,,,,,,,,,,,,,,,0.1013650888831634,0.6106725076432534,0.50930741876009,0.50930741876009,1.6641382448071838,large_over_prediction,unknown,no,0,low,no major issue,,True,True,True,True,True,both_poor,missing_additive_or_structure_annotation,possible_sintering_or_microstructure_effect,candidate hypothesis only; no causal mechanism proven,90,A,ML much worse than fitting; missing additive info and ML bad; missing structure info and ML bad; missing sintering info for high-ZT/error sample; manual review not checked,check additive and structure; ML tau error may be large
10.1007_s11664-009-0993-y__sample_16743,10.1007/s11664-009-0993-y,https://doi.org/10.1007/s11664-009-0993-y,,16743,(GeTe)80(Ag0.8Sb1.2Te2.2)20,unknown,p,19,19,1,1,0.0905232396563522,0.4916264970582817,0.4011032574019295,0.077010963793269,0.3806428618297877,0.3036318980365186,0.0227207994720398,0.3972203079334039,0.3744995084613641,0.0194537299103965,0.3952051998831522,0.3757514699727556,1.36355,0.8588505524495809,0.5297336434225818,0.8758898775588613,unknown,no,no,ML_moderately_worse,primary DOI test sample aggregate,p,existing_step6_or_step15,high,unknown,auto_step9,unknown,unknown,auto_step9,unknown,unknown,,no,unknown,unknown,no,unknown,yes,yes,yes,yes,False,unknown,True,True,medium,0.0905232396563522,0.1065772634619157,p,existing_step6_or_step15,high,unknown,auto_step9,unknown,unknown,auto_step9,unknown,unknown,,no,unknown,unknown,no,not_checked,yes,yes,yes,yes,False,unknown,True,True,0.6178937832144794,0.2356757577022246,-0.3822180255122548,0.3822180255122548,0.6823462680918683,moderate_error,not_checked,no,100,A,observed high ZT missed; manual review required; sintering check required later,high observed ZT; high-ZT false negative; important candidate for paper; carried from Step14,True,True,True,True,True,both_good,material_system_out_of_distribution,missing_additive_or_structure_annotation; possible_sintering_or_microstructure_effect,candidate hypothesis only; no causal mechanism proven,90,A,observed high ZT; ZT_ML false negative; missing sintering info for high-ZT/error sample; manual review not checked,check additive and structure; ML tau error may be large
