sample_key,DOI,doi_url,paper_title,sample_id,composition,material_system,n_or_p,n_rows_step22,n_pf_eval_rows_step22,n_zt_obs_eval_rows_step22,n_zt_calc_eval_rows_step22,sigma_fitting_log_rmse_step22,sigma_ML_log_rmse_step22,sigma_log_rmse_gap_ML_minus_fitting_step22,pf_fitting_mape_step22,pf_ML_mape_step22,pf_mape_gap_ML_minus_fitting_step22,zt_obs_fitting_mape_step22,zt_obs_ML_mape_step22,zt_obs_mape_gap_ML_minus_fitting_step22,zt_calc_fitting_mape_step22,zt_calc_ML_mape_step22,zt_calc_mape_gap_ML_minus_fitting_step22,zt_obs_max_step22,zt_pred_fitting_max_step22,zt_pred_ML_max_step22,zt_calc_from_obs_max_step22,sintering_method,sintering_checked,record_checked,comparison_category_step22,comparison_note_step22,n_or_p_final_step17,n_or_p_source_step17,n_or_p_confidence_final_step17,additive_final_step17,additive_source_step17,additive_confidence_final_step17,structure_final_step17,structure_source_step17,structure_confidence_final_step17,sintering_method_final_step17,sintering_condition_final_step17,sintering_checked_final_step17,sintering_source_step17,sintering_confidence_final_step17,paper_checked_step17,manual_review_status_step17,step17_check_additive,step17_check_structure,step17_check_np_type,step17_check_sintering,nanocarbon_keyword_detected_step9,nanocarbon_type_auto_step9,rare_metal_flag_auto_step9,toxicity_flag_auto_step9,target_quality_step18,sigma_fit_log_rmse_step12,validation_sigma_log_rmse_step13,n_or_p_final_step17__step17,n_or_p_source_step17__step17,n_or_p_confidence_final_step17__step17,additive_final_step17__step17,additive_source_step17__step17,additive_confidence_final_step17__step17,structure_final_step17__step17,structure_source_step17__step17,structure_confidence_final_step17__step17,sintering_method_final_step17__step17,sintering_condition_final_step17__step17,sintering_checked_final_step17__step17,sintering_source_step17__step17,sintering_confidence_final_step17__step17,paper_checked_step17__step17,manual_review_status_step17__step17,step17_check_additive__step17,step17_check_structure__step17,step17_check_np_type__step17,step17_check_sintering__step17,nanocarbon_keyword_detected_step9__step17,nanocarbon_type_auto_step9__step17,rare_metal_flag_auto_step9__step17,toxicity_flag_auto_step9__step17,target_log_tau_eff_step18,pred_log_tau_eff_step19,residual_log_tau_eff_step19,abs_error_log_tau_eff_step19,tau_eff_ratio_pred_true_step19,residual_category_step19,manual_review_status_step17__step19,paper_checked_step17__step19,manual_review_priority_score_step15,manual_review_priority_tier_step15,pf_zt_problem_reason_step15,sintering_check_reason_step15,missing_additive_info_step23,missing_structure_info_step23,missing_sintering_info_step23,missing_np_paper_confirmation_step23,manual_annotation_needed_step23,error_pattern_step23,primary_error_source_hypothesis_step23,secondary_error_source_hypothesis_step23,error_cause_note_step23,step23_review_priority_score,step23_review_priority_tier,step23_review_reason
10.1007_s11664-010-1202-8__sample_20900,10.1007/s11664-010-1202-8,https://doi.org/10.1007/s11664-010-1202-8,,20900,(Ag0.8SbTe1.9)15(GeTe)85,unknown,p,19,1,0,1,0.0935345519218083,0.7696603341618127,0.6761257822400043,0.0175256315603089,0.5260160768169918,0.5084904452566829,,,,0.0175256315602974,0.5260160768169764,0.5084904452566789,1.358394,1.4266571443484182,0.6645656181441174,1.402084724058252,unknown,no,no,not_evaluated,primary DOI test sample aggregate,p,,high,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,no,unknown,unknown,no,unknown,,,,,False,unknown,True,True,medium,0.0935345519218083,0.2015233484837851,,,,,,,,,,,,,,,,,,,,,,,,,0.9716013925928308,-0.0627598169293474,-1.0343612095221784,1.0343612095221784,0.3554533686456361,large_under_prediction,unknown,no,75,B,insufficient ZT evaluation rows; manual review required; sintering check required later,high observed ZT; important candidate for paper; high predicted ZT,True,True,True,True,True,not_evaluable,not_evaluable,missing_additive_or_structure_annotation; possible_sintering_or_microstructure_effect; tau_eff_ML_prediction_error,candidate hypothesis only; no causal mechanism proven,90,A,observed high ZT; ZT_ML false negative; missing sintering info for high-ZT/error sample; manual review not checked
10.1007_s11664-010-1202-8__sample_20901,10.1007/s11664-010-1202-8,https://doi.org/10.1007/s11664-010-1202-8,,20901,(AgSbTe2)15(GeTe)85,unknown,p,19,6,3,6,0.0674858857021596,0.6798317645615977,0.612345878859438,0.0515077472173577,0.4862014406976975,0.4346936934803398,0.0251027180335014,0.501144258374114,0.4760415403406126,0.0515077472173594,0.4862014406976847,0.4346936934803252,1.16473,1.3602491485585997,0.6915595740885979,1.222569433344178,unknown,no,no,ML_moderately_worse,primary DOI test sample aggregate,p,,high,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,no,unknown,unknown,no,unknown,,,,,False,unknown,True,True,medium,0.0674858857021596,0.1196797044953422,,,,,,,,,,,,,,,,,,,,,,,,,0.752117934130699,0.1335194910940272,-0.6185984430366718,0.6185984430366718,0.5386989259727817,large_under_prediction,unknown,no,65,B,manual review required; sintering check required later,high observed ZT; important candidate for paper; high predicted ZT,True,True,True,True,True,not_evaluable,not_evaluable,missing_additive_or_structure_annotation; possible_sintering_or_microstructure_effect,candidate hypothesis only; no causal mechanism proven,90,A,observed high ZT; ZT_ML false negative; missing sintering info for high-ZT/error sample; manual review not checked
10.1007_s11664-010-1202-8__sample_20902,10.1007/s11664-010-1202-8,https://doi.org/10.1007/s11664-010-1202-8,,20902,(Ag1.2SbTe2.1)15(GeTe)85,unknown,p,19,11,2,6,0.0837573402496765,0.6427372900381083,0.5589799497884318,0.0776017862631367,0.4520695089158344,0.3744677226526977,0.0352939852378951,0.4525976211889763,0.4173036359510811,0.0564638128937906,0.464146656962024,0.4076828440682333,1.040092,1.2237144900765111,0.647028025280642,1.0917672952409423,unknown,no,no,ML_moderately_worse,primary DOI test sample aggregate,p,,high,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,no,unknown,unknown,no,unknown,,,,,False,unknown,True,True,medium,0.0837573402496766,0.1711328136170368,,,,,,,,,,,,,,,,,,,,,,,,,0.8449022554788116,-0.0627598169293474,-0.907662072408159,0.907662072408159,0.4034663974608619,large_under_prediction,unknown,no,75,B,manual review required; sintering check required later,high observed ZT; important candidate for paper; high predicted ZT,True,True,True,True,True,both_good,material_system_out_of_distribution,missing_additive_or_structure_annotation; possible_sintering_or_microstructure_effect,candidate hypothesis only; no causal mechanism proven,90,A,observed high ZT; ZT_ML false negative; missing sintering info for high-ZT/error sample; manual review not checked
10.1007_s11664-010-1202-8__sample_20903,10.1007/s11664-010-1202-8,https://doi.org/10.1007/s11664-010-1202-8,,20903,(Ag0.8SbTe1.9)15(GeTe)85,unknown,p,17,9,2,4,0.0809801079367187,0.6119004591207964,0.5309203511840777,0.0831452318491777,0.4284716198520268,0.3453263880028491,0.1023076504321708,0.4253223497782618,0.323014699346091,0.0832861718617783,0.445216415072696,0.3619302432109177,1.337833,1.5469180517245769,0.8434508418469907,1.331950712499168,unknown,no,no,ML_moderately_worse,primary DOI test sample aggregate,p,,high,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,no,unknown,unknown,no,unknown,,,,,False,unknown,True,True,medium,0.0809801079367187,0.1627257747063498,,,,,,,,,,,,,,,,,,,,,,,,,0.8141639439375813,-0.0627598169293474,-0.8769237608669287,0.8769237608669287,0.4160608477168609,large_under_prediction,unknown,no,75,B,manual review required; sintering check required later,high observed ZT; important candidate for paper; high predicted ZT,True,True,True,True,True,both_good,material_system_out_of_distribution,missing_additive_or_structure_annotation; possible_sintering_or_microstructure_effect,candidate hypothesis only; no causal mechanism proven,90,A,observed high ZT; ZT_ML false negative; missing sintering info for high-ZT/error sample; manual review not checked
10.1007_s11664-010-1202-8__sample_20904,10.1007/s11664-010-1202-8,https://doi.org/10.1007/s11664-010-1202-8,,20904,(AgSbTe2)15(GeTe)85,unknown,p,17,8,5,7,0.0546270926915634,0.5432935670659188,0.4886664743743553,0.0540558210727148,0.4175064886650788,0.363450667592364,0.0510553845135495,0.4276032176581059,0.3765478331445563,0.0435920836799832,0.4280900494134346,0.3844979657334514,1.225686,1.5424865301545594,0.8983958245769914,1.5060356364381609,unknown,no,no,ML_moderately_worse,primary DOI test sample aggregate,p,,high,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,no,unknown,unknown,no,unknown,,,,,False,unknown,True,True,medium,0.0546270926915634,0.0597872167678881,,,,,,,,,,,,,,,,,,,,,,,,,0.6161843415480701,0.1335194910940272,-0.4826648504540429,0.4826648504540429,0.617136621775998,moderate_error,unknown,no,65,B,manual review required; sintering check required later,high observed ZT; important candidate for paper; high predicted ZT,True,True,True,True,True,both_good,material_system_out_of_distribution,missing_additive_or_structure_annotation; possible_sintering_or_microstructure_effect,candidate hypothesis only; no causal mechanism proven,90,A,observed high ZT; ZT_ML false negative; missing sintering info for high-ZT/error sample; manual review not checked
10.1007_s11664-010-1202-8__sample_20905,10.1007/s11664-010-1202-8,https://doi.org/10.1007/s11664-010-1202-8,,20905,(Ag1.2SbTe2.1)15(GeTe)85,unknown,p,19,8,4,5,0.0912950146441029,0.4556731943714423,0.3643781797273394,0.0425207849664736,0.3449668700847957,0.3024460851183221,0.0613730430458999,0.3480515840664289,0.286678541020529,0.0476437802367542,0.3466122040554878,0.2989684238187335,1.453293,1.3296060423821687,0.8508229085919452,1.4242297634863,unknown,no,no,ML_moderately_worse,primary DOI test sample aggregate,p,,high,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,no,unknown,unknown,no,unknown,,,,,False,unknown,True,True,medium,0.0912950146441029,0.191745146385672,,,,,,,,,,,,,,,,,,,,,,,,,0.6540796483511405,-0.0627598169293474,-0.7168394652804879,0.7168394652804879,0.4882930870071341,large_under_prediction,unknown,no,65,B,manual review required; sintering check required later,high observed ZT; important candidate for paper; high predicted ZT,True,True,True,True,True,both_good,material_system_out_of_distribution,missing_additive_or_structure_annotation; possible_sintering_or_microstructure_effect,candidate hypothesis only; no causal mechanism proven,90,A,observed high ZT; ZT_ML false negative; missing sintering info for high-ZT/error sample; manual review not checked
10.1007_s11664-010-1424-9__sample_8005,10.1007/s11664-010-1424-9,https://doi.org/10.1007/s11664-010-1424-9,,8005,Bi2Te2.85Se0.15,unknown,n,12,12,0,5,0.0847964814028985,0.1434159712227728,0.0586194898198742,0.0614516745736519,0.1410258490138341,0.0795741744401821,,,,0.0679533948143881,0.1008088648083283,0.0328554699939401,,1.0337386260587014,1.1604918938557942,1.163129542087705,unknown,no,no,not_evaluated,primary DOI test sample aggregate,n,,high,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,no,unknown,unknown,no,unknown,,,,,False,unknown,True,True,medium,0.0847964814028986,0.0342456441071612,,,,,,,,,,,,,,,,,,,,,,,,,-0.2880980154768957,0.0434032168861993,0.331501232363095,0.331501232363095,1.3930578630303754,moderate_error,unknown,no,35,C,insufficient ZT evaluation rows; sintering check required later,high predicted ZT,True,True,True,True,True,not_evaluable,not_evaluable,missing_additive_or_structure_annotation,candidate hypothesis only; no causal mechanism proven,35,C,ZT_ML false positive; manual review not checked
10.1007_s11664-010-1487-7__sample_8097,10.1007/s11664-010-1487-7,https://doi.org/10.1007/s11664-010-1487-7,,8097,Bi2Te3,unknown,n,7,7,7,7,0.1887730860036457,0.9944594430582988,0.805686357054653,0.1582189581222843,0.6166188290375726,0.4583998709152882,0.1557098155966539,0.6165447362574791,0.4608349206608252,0.1582189581222799,0.6166188290375639,0.4583998709152839,1.043741,0.9617216122391152,0.362254450631699,1.0468256797816773,unknown,no,no,ML_moderately_worse,primary DOI test sample aggregate,n,,high,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,no,unknown,unknown,no,unknown,,,,,False,unknown,True,True,medium,0.1887730860036456,0.3160118327302515,,,,,,,,,,,,,,,,,,,,,,,,,0.724818119163299,-0.3231781403463856,-1.0479962595096846,1.0479962595096846,0.3506396365134046,large_under_prediction,unknown,no,90,A,observed high ZT missed; manual review required; sintering check required later,high observed ZT; high-ZT false negative; important candidate for paper; carried from Step14,True,True,True,True,True,not_evaluable,not_evaluable,missing_additive_or_structure_annotation; possible_sintering_or_microstructure_effect; tau_eff_ML_prediction_error,candidate hypothesis only; no causal mechanism proven,90,A,observed high ZT; ZT_ML false negative; missing sintering info for high-ZT/error sample; manual review not checked
10.1007_s11664-010-1487-7__sample_8098,10.1007/s11664-010-1487-7,https://doi.org/10.1007/s11664-010-1487-7,,8098,Bi2Te3,unknown,n,7,7,7,7,0.1843496685450559,0.9530927834469204,0.7687431149018644,0.1556465713814598,0.6008110945421651,0.4451645231607052,0.1555229420564012,0.6007974910467456,0.4452745489903443,0.1556465713814511,0.6008110945421522,0.445164523160701,1.182393,1.2049102759768449,0.472986213829662,1.1835727738493311,unknown,no,no,ML_moderately_worse,primary DOI test sample aggregate,n,,high,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,no,unknown,unknown,no,unknown,,,,,False,unknown,True,True,medium,0.1843496685450563,0.3032673998780309,,,,,,,,,,,,,,,,,,,,,,,,,0.6835341034998782,-0.3231781403463856,-1.006712243846264,1.006712243846264,0.3654184134054774,large_under_prediction,unknown,no,65,B,manual review required; sintering check required later,high observed ZT; important candidate for paper; high predicted ZT,True,True,True,True,True,not_evaluable,not_evaluable,missing_additive_or_structure_annotation; possible_sintering_or_microstructure_effect; tau_eff_ML_prediction_error,candidate hypothesis only; no causal mechanism proven,90,A,observed high ZT; ZT_ML false negative; missing sintering info for high-ZT/error sample; manual review not checked
10.1007_s11664-010-1487-7__sample_8099,10.1007/s11664-010-1487-7,https://doi.org/10.1007/s11664-010-1487-7,,8099,Bi2Te3,unknown,n,7,7,7,7,0.1539144188659271,0.60275187009621,0.4488374512302828,0.1282420050020989,0.4352103848161629,0.306968379814064,0.1267492446660201,0.4369804800270729,0.3102312353610528,0.1282420050020929,0.4352103848161588,0.306968379814066,1.070151,1.1272022701518791,0.6293733103692933,1.0657762814001857,unknown,no,no,ML_moderately_worse,primary DOI test sample aggregate,n,,high,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,no,unknown,unknown,no,unknown,,,,,False,unknown,True,True,medium,0.1539144188659271,0.2192337123099841,,,,,,,,,,,,,,,,,,,,,,,,,0.3312093576516893,-0.3231781403463856,-0.6543874979980749,0.6543874979980749,0.5197603193467683,large_under_prediction,unknown,no,65,B,manual review required; sintering check required later,high observed ZT; important candidate for paper; high predicted ZT,True,True,True,True,True,both_good,material_system_out_of_distribution,missing_additive_or_structure_annotation; possible_sintering_or_microstructure_effect,candidate hypothesis only; no causal mechanism proven,90,A,observed high ZT; ZT_ML false negative; missing sintering info for high-ZT/error sample; manual review not checked
10.1007_s11664-010-1487-7__sample_8100,10.1007/s11664-010-1487-7,https://doi.org/10.1007/s11664-010-1487-7,,8100,Bi2Te3,unknown,n,7,7,7,7,0.1432825869784399,0.4627857598332265,0.3195031728547866,0.118363459715303,0.3495994169633208,0.2312359572480177,0.1179834619835758,0.3510217459874398,0.2330382840038639,0.1183634597152889,0.3495994169633101,0.2312359572480211,1.087758,1.195230010045857,0.7697360065179341,1.0850147513688115,unknown,no,no,ML_moderately_worse,primary DOI test sample aggregate,n,,high,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,no,unknown,unknown,no,unknown,,,,,False,unknown,True,True,medium,0.1432825869784399,0.1863647540014762,,,,,,,,,,,,,,,,,,,,,,,,,0.1884862774337443,-0.3231781403463856,-0.5116644177801299,0.5116644177801299,0.5994969346051328,large_under_prediction,unknown,no,65,B,manual review required; sintering check required later,high observed ZT; important candidate for paper; high predicted ZT,True,True,True,True,True,both_good,material_system_out_of_distribution,missing_additive_or_structure_annotation; possible_sintering_or_microstructure_effect,candidate hypothesis only; no causal mechanism proven,90,A,observed high ZT; ZT_ML false negative; missing sintering info for high-ZT/error sample; manual review not checked
10.1007_s11664-010-1487-7__sample_8101,10.1007/s11664-010-1487-7,https://doi.org/10.1007/s11664-010-1487-7,,8101,Bi2Te3,unknown,n,7,7,7,7,0.1459104214923867,0.4527074090232018,0.3067969875308151,0.1183750215158351,0.3417412783668941,0.223366256851059,0.1162216753538953,0.3431555024527028,0.2269338270988074,0.1183750215158329,0.3417412783668844,0.2233662568510514,1.126272,1.201217370088658,0.7825375522248997,1.123463568673856,unknown,no,no,ML_moderately_worse,primary DOI test sample aggregate,n,,high,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,no,unknown,unknown,no,unknown,,,,,False,unknown,True,True,medium,0.1459104214923867,0.2207468758772127,,,,,,,,,,,,,,,,,,,,,,,,,0.1769888472386129,-0.3231781403463856,-0.5001669875849986,0.5001669875849986,0.606429385078579,large_under_prediction,unknown,no,65,B,manual review required; sintering check required later,high observed ZT; important candidate for paper; high predicted ZT,True,True,True,True,True,both_good,material_system_out_of_distribution,missing_additive_or_structure_annotation; possible_sintering_or_microstructure_effect,candidate hypothesis only; no causal mechanism proven,90,A,observed high ZT; ZT_ML false negative; missing sintering info for high-ZT/error sample; manual review not checked
10.1007_s11664-011-1841-4__sample_4057,10.1007/s11664-011-1841-4,https://doi.org/10.1007/s11664-011-1841-4,,4057,Co4Sb11Ge0.3Te0.7,unknown,n,21,16,8,13,0.0925249751519598,0.2758415144762727,0.1833165393243129,0.0858155694422439,0.2163687002023133,0.1305531307600694,0.0906038080608077,0.2070147765299687,0.1164109684691609,0.0819841962114261,0.224301803831167,0.1423176076197408,0.9592614,1.1496780561498632,0.8865844331273633,0.9631493099643136,unknown,no,no,ML_moderately_worse,primary DOI test sample aggregate,n,,high,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,no,unknown,unknown,no,unknown,,,,,False,unknown,True,True,medium,0.0925249751519598,0.1439265341653782,,,,,,,,,,,,,,,,,,,,,,,,,0.516452073699801,0.2892636647345635,-0.2271884089652374,0.2271884089652374,0.7967706494138062,good,unknown,no,65,B,predicted high ZT false positive; manual review required; sintering check required later,high-ZT false positive; important candidate for paper; high predicted ZT; carried from Step14,True,True,True,True,True,both_good,material_system_out_of_distribution,missing_additive_or_structure_annotation,candidate hypothesis only; no causal mechanism proven,10,low,manual review not checked
