n_or_p,sample_count,ML_much_worse_count,fitting_good_ML_bad_count,fitting_bad_ML_bad_count,median_sigma_ML_log_rmse,median_zt_obs_ML_mape,missing_additive_count,missing_structure_count,missing_sintering_count,manual_annotation_needed_count,interpretation_step23
n,1586,161,455,6,0.7071246529028821,0.5384497459424256,1586,1585,1586,1586,review high-error ML degradation cases; do not infer causality
p,1615,229,515,4,0.7644596671913325,0.5847020517702621,1614,1615,1615,1615,review high-error ML degradation cases; do not infer causality
