model_name,importance_type,feature_name,importance_value,abs_importance_value,rank,note,feature_source,feature_type
extra_trees,feature_importances_,structure_final_step17__nanotube,0.0,0.0,47,,step18_feature_matrix,one_hot
extra_trees,feature_importances_,structure_final_step17__nanotube_thin_film_film,0.0,0.0,48,,step18_feature_matrix,one_hot
extra_trees,feature_importances_,structure_final_step17__unknown,0.0,0.0,49,,step18_feature_matrix,one_hot
extra_trees,permutation_importance_primary_test,element_count_step18,0.1065749300159687,0.1065749300159687,6,n=3000,step18_feature_matrix,numeric
extra_trees,permutation_importance_primary_test,nanocarbon_keyword_detected_step9,0.0,0.0,38,n=3000,step18_feature_matrix,binary
extra_trees,permutation_importance_primary_test,rare_metal_flag_auto_step9,-0.05531929182019302,0.05531929182019302,13,n=3000,step18_feature_matrix,binary
extra_trees,permutation_importance_primary_test,toxicity_flag_auto_step9,0.1131232687187332,0.1131232687187332,5,n=3000,step18_feature_matrix,binary
extra_trees,permutation_importance_primary_test,contains_C_step18,-0.007397585157571977,0.007397585157571977,30,n=3000,step18_feature_matrix,binary
extra_trees,permutation_importance_primary_test,contains_Bi_step18,0.0548220658021609,0.0548220658021609,15,n=3000,step18_feature_matrix,binary
extra_trees,permutation_importance_primary_test,contains_Te_step18,0.05509407082201023,0.05509407082201023,14,n=3000,step18_feature_matrix,binary
extra_trees,permutation_importance_primary_test,contains_Se_step18,0.07478269695811861,0.07478269695811861,10,n=3000,step18_feature_matrix,binary
extra_trees,permutation_importance_primary_test,contains_Sb_step18,0.06405102268015894,0.06405102268015894,12,n=3000,step18_feature_matrix,binary
extra_trees,permutation_importance_primary_test,contains_Pb_step18,0.048509590845247676,0.048509590845247676,17,n=3000,step18_feature_matrix,binary
extra_trees,permutation_importance_primary_test,contains_Sn_step18,0.0018471127556387579,0.0018471127556387579,36,n=3000,step18_feature_matrix,binary
extra_trees,permutation_importance_primary_test,contains_Ge_step18,0.04585490357155401,0.04585490357155401,18,n=3000,step18_feature_matrix,binary
extra_trees,permutation_importance_primary_test,contains_Si_step18,0.06498239224280078,0.06498239224280078,11,n=3000,step18_feature_matrix,binary
extra_trees,permutation_importance_primary_test,contains_Mg_step18,0.008389093967817507,0.008389093967817507,27,n=3000,step18_feature_matrix,binary
extra_trees,permutation_importance_primary_test,contains_Co_step18,0.10543670261829881,0.10543670261829881,7,n=3000,step18_feature_matrix,binary
extra_trees,permutation_importance_primary_test,contains_Fe_step18,0.030328461359623304,0.030328461359623304,19,n=3000,step18_feature_matrix,binary
extra_trees,permutation_importance_primary_test,contains_Cu_step18,0.14407708609149825,0.14407708609149825,4,n=3000,step18_feature_matrix,binary
extra_trees,permutation_importance_primary_test,contains_Ag_step18,0.01643935023241494,0.01643935023241494,21,n=3000,step18_feature_matrix,binary
extra_trees,permutation_importance_primary_test,contains_In_step18,0.015640887609243388,0.015640887609243388,22,n=3000,step18_feature_matrix,binary
extra_trees,permutation_importance_primary_test,contains_Ga_step18,0.0012937136081353866,0.0012937136081353866,37,n=3000,step18_feature_matrix,binary
extra_trees,permutation_importance_primary_test,contains_Ca_step18,0.007844450835957936,0.007844450835957936,28,n=3000,step18_feature_matrix,binary
extra_trees,permutation_importance_primary_test,contains_Na_step18,0.0066716736022625804,0.0066716736022625804,31,n=3000,step18_feature_matrix,binary
extra_trees,permutation_importance_primary_test,contains_K_step18,0.005965167972528551,0.005965167972528551,32,n=3000,step18_feature_matrix,binary
extra_trees,permutation_importance_primary_test,contains_O_step18,0.08935258648514588,0.08935258648514588,8,n=3000,step18_feature_matrix,binary
extra_trees,permutation_importance_primary_test,contains_N_step18,-0.003676727122066792,0.003676727122066792,34,n=3000,step18_feature_matrix,binary
extra_trees,permutation_importance_primary_test,has_chalcogen_step18,0.4953442971686863,0.4953442971686863,1,n=3000,step18_feature_matrix,binary
extra_trees,permutation_importance_primary_test,has_pnictogen_step18,0.029319877869535087,0.029319877869535087,20,n=3000,step18_feature_matrix,binary
extra_trees,permutation_importance_primary_test,has_transition_metal_step18,0.19271630375340276,0.19271630375340276,3,n=3000,step18_feature_matrix,binary
extra_trees,permutation_importance_primary_test,has_alkali_or_alkaline_step18,0.08716135602056307,0.08716135602056307,9,n=3000,step18_feature_matrix,binary
extra_trees,permutation_importance_primary_test,has_heavy_element_step18,0.05224317542482204,0.05224317542482204,16,n=3000,step18_feature_matrix,binary
extra_trees,permutation_importance_primary_test,has_toxic_attention_element_step18,0.28765676702196763,0.28765676702196763,2,n=3000,step18_feature_matrix,binary
extra_trees,permutation_importance_primary_test,has_rare_metal_attention_element_step18,0.010597999691118742,0.010597999691118742,24,n=3000,step18_feature_matrix,binary
extra_trees,permutation_importance_primary_test,n_or_p_final_step17__n,-0.009934920966160185,0.009934920966160185,25,n=3000,step18_feature_matrix,one_hot
extra_trees,permutation_importance_primary_test,n_or_p_final_step17__p,0.008835165624363187,0.008835165624363187,26,n=3000,step18_feature_matrix,one_hot
extra_trees,permutation_importance_primary_test,n_or_p__n,-0.011406628604060165,0.011406628604060165,23,n=3000,step18_feature_matrix,one_hot
extra_trees,permutation_importance_primary_test,n_or_p__p,0.007791958697322521,0.007791958697322521,29,n=3000,step18_feature_matrix,one_hot
extra_trees,permutation_importance_primary_test,fitting_source_actual_step10__electrical_conductivity,-0.004909677350082076,0.004909677350082076,33,n=3000,step18_feature_matrix,one_hot
extra_trees,permutation_importance_primary_test,fitting_source_actual_step10__electrical_resistivity,0.0026301168963324497,0.0026301168963324497,35,n=3000,step18_feature_matrix,one_hot
extra_trees,permutation_importance_primary_test,nanocarbon_type_auto_step9__cnt,0.0,0.0,39,n=3000,step18_feature_matrix,one_hot
extra_trees,permutation_importance_primary_test,nanocarbon_type_auto_step9__fullerene,0.0,0.0,40,n=3000,step18_feature_matrix,one_hot
extra_trees,permutation_importance_primary_test,nanocarbon_type_auto_step9__unknown,0.0,0.0,41,n=3000,step18_feature_matrix,one_hot
extra_trees,permutation_importance_primary_test,additive_final_step17__doped,0.0,0.0,42,n=3000,step18_feature_matrix,one_hot
extra_trees,permutation_importance_primary_test,additive_final_step17__unknown,0.0,0.0,43,n=3000,step18_feature_matrix,one_hot
extra_trees,permutation_importance_primary_test,structure_final_step17__1d,0.0,0.0,44,n=3000,step18_feature_matrix,one_hot
extra_trees,permutation_importance_primary_test,structure_final_step17__2d,0.0,0.0,45,n=3000,step18_feature_matrix,one_hot
extra_trees,permutation_importance_primary_test,structure_final_step17__nanostructure,0.0,0.0,46,n=3000,step18_feature_matrix,one_hot
extra_trees,permutation_importance_primary_test,structure_final_step17__nanotube,0.0,0.0,47,n=3000,step18_feature_matrix,one_hot
extra_trees,permutation_importance_primary_test,structure_final_step17__nanotube_thin_film_film,0.0,0.0,48,n=3000,step18_feature_matrix,one_hot
extra_trees,permutation_importance_primary_test,structure_final_step17__unknown,0.0,0.0,49,n=3000,step18_feature_matrix,one_hot
