model_name,primary_split_name,test_rmse_log_tau,test_mae_log_tau,test_r2_log_tau,test_median_multiplicative_error,test_within_factor_2_rate,test_within_factor_3_rate,test_within_factor_10_rate,train_rmse_log_tau,generalization_gap_rmse_log_tau,rank_by_primary_rmse,rank_by_primary_r2,selected_best_model,selection_reason
baseline_mean,split_doi_group_80_20_step18,1.6810063034922693,1.1449572631593479,-0.007901641396965031,2.3602482111660144,0.4164323648859731,0.6116838487972509,0.9087785067166511,1.955656930003855,-0.2746506265115858,4.0,4.0,False,Selected by random 70/15/15 validation RMSE; DOI test reported as primary reliability check.
ridge_regression,split_doi_group_80_20_step18,1.6163340962121064,1.0640523137924394,0.06815916683889467,2.102566497690598,0.472039987503905,0.6576069978131833,0.9128397375820057,1.8321013684675538,-0.21576727225544734,2.0,2.0,False,Selected by random 70/15/15 validation RMSE; DOI test reported as primary reliability check.
random_forest,split_doi_group_80_20_step18,1.6536068801622943,1.0068219326196493,0.024687007387037996,1.8757272040404753,0.5323336457357076,0.7100905966885348,0.9053420805998126,1.3924390020814872,0.2611678780808071,3.0,3.0,False,Selected by random 70/15/15 validation RMSE; DOI test reported as primary reliability check.
extra_trees,split_doi_group_80_20_step18,1.8249169464849557,1.0683280414737977,-0.18786114503275475,1.8853267036865333,0.5292096219931272,0.704154951577632,0.8972196188691034,1.370964769705371,0.45395217677958466,5.0,5.0,True,Selected by random 70/15/15 validation RMSE; DOI test reported as primary reliability check.
gradient_boosting,split_doi_group_80_20_step18,1.5762512881125252,0.9982894887130704,0.11380279189067732,1.966863409116495,0.5101530771633864,0.7047797563261481,0.9206497969384567,1.6975377988336926,-0.12128651072116736,1.0,1.0,False,Selected by random 70/15/15 validation RMSE; DOI test reported as primary reliability check.
