threshold,version,n_samples,n_observed_positive,n_predicted_positive,true_positive,false_positive,false_negative,true_negative,precision,recall,f1,accuracy,specificity,balanced_accuracy,note
0.5,direct_fitting,3201,945,810,674,136,271,2120,0.8320987654320988,0.7132275132275132,0.7680911680911681,0.872852233676976,0.9397163120567376,0.8264719126421254,observed label: zt_obs_max_step22
0.5,ml_tau_prediction,3201,945,759,564,195,381,2061,0.7430830039525692,0.5968253968253968,0.6619718309859155,0.8200562324273665,0.913563829787234,0.7551946133063154,observed label: zt_obs_max_step22
1.0,direct_fitting,3201,376,418,276,142,100,2683,0.6602870813397129,0.7340425531914894,0.695214105793451,0.9243986254295533,0.9497345132743363,0.8418885332329129,observed label: zt_obs_max_step22
1.0,ml_tau_prediction,3201,376,376,188,188,188,2637,0.5,0.5,0.5,0.8825367072789754,0.9334513274336284,0.7167256637168142,observed label: zt_obs_max_step22
1.5,direct_fitting,3201,76,154,50,104,26,3021,0.3246753246753247,0.6578947368421053,0.43478260869565216,0.9593876913464542,0.96672,0.8123073684210527,observed label: zt_obs_max_step22
1.5,ml_tau_prediction,3201,76,190,36,154,40,2971,0.18947368421052632,0.47368421052631576,0.27067669172932335,0.9393939393939394,0.95072,0.7122021052631579,observed label: zt_obs_max_step22
