target_quantity,comparison_reference,version,n_rows,n_samples,mae,rmse,mape,log_mae,log_rmse,log_r2,pearson,spearman,within_25pct_rate,within_50pct_rate,within_factor_2_rate,note
sigma,sigma_obs_S_per_m_step11,direct_fitting,55272,3201,129978.44050066375,1688669.5221474161,0.2147375339104493,0.20475970070238553,0.29309257787091264,0.973617606008886,0.9867312700409371,0.9776360848391019,0.7114633087277464,0.913970907511941,0.9652988855116514,primary DOI test
sigma,sigma_obs_S_per_m_step11,ml_tau_prediction,55272,3201,533824.1954076135,5492430.1028684955,546.6161538269516,1.1132248095811155,1.7139015148998702,0.09785512641149052,0.34069117041676666,0.4239536943178038,0.176237516283109,0.38198364452163847,0.45417209436966277,primary DOI test
PF,power_factor_obs_W_per_mK2_step21,direct_fitting,15177,1728,0.0006215513150080134,0.018259156195071118,0.20695878689846534,0.1980202785209169,0.28061519368037263,0.9761480069418583,0.9882426457237767,0.9685849652921042,0.725571588587995,0.9149370758384398,0.968109639586216,primary DOI test
PF,power_factor_obs_W_per_mK2_step21,ml_tau_prediction,15177,1728,0.004998106842367202,0.184553435660063,113.72315291446607,0.9234086597820319,1.4717793161237562,0.3438733151402332,0.6395749349767411,0.6280039035816093,0.20840745865454305,0.44093035514265005,0.53475653950056,primary DOI test
ZT_vs_obs,zt_obs_dimensionless_step11,direct_fitting,6362,1113,0.10430438140462578,0.2090009408304799,0.567520866585321,0.3086443806708461,0.8115921284159524,0.773383265508703,0.9162876935474087,0.9571669438294376,0.6812323168814838,0.8709525306507387,0.9342973907576234,primary DOI test
ZT_vs_obs,zt_obs_dimensionless_step11,ml_tau_prediction,6362,1113,0.37048384374803667,0.8644400354481245,6.629457189359549,0.8654242628496326,1.285184955277876,0.43173934097457256,0.7919842426893152,0.7194868148453022,0.21974221942785288,0.4393272555800063,0.5455831499528451,primary DOI test
ZT_vs_calc,zt_calc_from_obs_step11,direct_fitting,9121,1384,0.09849296223994594,0.71145252312916,0.21552558768760544,0.20603488212481338,0.2924581615885681,0.9811287981652994,0.9908487303889777,0.9779328517294975,0.7131893432737638,0.9026422541388006,0.9619559258853196,primary DOI test
ZT_vs_calc,zt_calc_from_obs_step11,ml_tau_prediction,9121,1384,0.40237847618250216,6.405375752619759,50.35304890059129,0.8417446406769962,1.2636065482902714,0.6477136597125392,0.8302819183569848,0.7658078454959188,0.22289222672952527,0.45049884881043745,0.5578335708803859,primary DOI test
