material_system,n_or_p,candidate_A_count,candidate_B_count,high_zt_count,low_kappa_high_sigma_count,manual_review_needed_count,sintering_check_needed_count
,p,916,357,956,2538,175,175
,n,360,299,445,1453,76,76
unknown,p,234,99,234,520,1615,200
unknown,n,104,116,142,333,1586,129
