sample_key,log_tau_eff_step12,tau_eff_step12,material_system,n_or_p,sigma_fit_log_rmse_step12,sigma_fit_mape_step12
10.1002_1439-2054_20010301_286_3_139_aid-mame139_3.0.co_2-f__sample_84409,-0.9444901787209772,0.3888777785386625,unknown,p,0.0771418173174015,0.0638766840606843
10.1002_1439-2054_20010301_286_3_139_aid-mame139_3.0.co_2-f__sample_84410,-2.155684118540388,0.1158239262075064,unknown,p,0.1395498459488177,0.1194469852452207
10.1002_adem.201200233__sample_18985,-0.7757909595090949,0.4603395270365666,unknown,p,0.2915643254776504,0.2304391767508386
10.1002_adem.201200233__sample_18987,0.1785703562215087,1.1955069916693906,unknown,p,0.2289634345746099,0.178797013796314
10.1002_adem.201200233__sample_18989,0.6634142981453016,1.9414095824815043,unknown,p,0.1996227243146851,0.1592134397870285
10.1002_adem.201400183__sample_19725,-3.5298679485030195,0.0293087858805648,unknown,p,1.1187789585387196,1.5525009924526667
10.1002_adem.201400183__sample_19726,-2.2054382060012347,0.1102022234465124,unknown,p,1.2654802642283776,2.1413051470765256
10.1002_adem.201400183__sample_19727,-1.719214648454893,0.1792068330238361,unknown,p,1.178618302219195,1.7034871126042646
10.1002_adem.201400183__sample_19728,-1.5696214478217885,0.2081239532224688,unknown,p,1.2276471606214725,1.850375288462336
10.1002_adem.201400183__sample_19729,-1.1958317621627743,0.3024522811670872,unknown,p,1.159324017722149,1.6925235642324747
10.1002_adem.201400183__sample_19730,-1.21652927831477,0.2962566088833061,unknown,p,1.0148662745341464,1.3214960112840934
10.1002_adem.201400183__sample_19731,-1.778148574066867,0.1689506575132818,unknown,p,1.063895944052165,1.4468436671622276
10.1002_adem.201400183__sample_19732,-1.0278260473998395,0.3577839210109408,unknown,n,0.5276777780141827,0.4299620446320768
10.1002_adem.201400183__sample_19733,-1.4015734261750867,0.2462092669101566,unknown,n,0.6855488660438245,0.6028154606704037
10.1002_adem.201400183__sample_19734,-1.4587356794106716,0.2325300815273426,unknown,n,0.5561576138219415,0.4570868545088104
10.1002_adem.201400183__sample_19735,-2.1826337862258645,0.112744195145045,unknown,n,0.5291743694903672,0.4295511307392573
10.1002_adfm.200400109__sample_3326,-0.2306968904755377,0.793980092493583,unknown,p,0.0377861632678595,0.030775263377764
10.1002_adfm.200400109__sample_3327,-0.3603686425527569,0.6974191802895409,unknown,p,0.0403694298525704,0.0306087575519803
10.1002_adfm.200400109__sample_3328,-0.3896589012507547,0.67728785714293,unknown,p,0.0537149757446602,0.0407167817038858
10.1002_adfm.200400109__sample_3329,-0.5190759757985445,0.5950701532299567,unknown,p,0.0456198567996235,0.0356639816911203
