sample_key,property_step10,temperature_K_rounded,value_raw_median,value_raw_mean,value_raw_std,value_raw_min,value_raw_max,source_point_count_step10,source_curve_count_step10,curve_ids_step10,units_y_step10
10.1007_s00339-004-2596-z__sample_8184,Electrical conductivity,460.772,2954.774,2954.774,0.0,2954.774,2954.774,2,1,10.1007_s00339-004-2596-z__sample_8184__figure_6700__prop_Electrical_conductivity__sid_223__row_26203,ohm^(-1)*m^(-1)
10.1007_s10789-005-0256-0__sample_10951,Electrical conductivity,620.553,1132.988,1132.988,0.0,1132.988,1132.988,2,1,10.1007_s10789-005-0256-0__sample_10951__figure_9039__prop_Electrical_conductivity__sid_1205__row_35271,ohm^(-1)*m^(-1)
10.1007_s10853-016-9980-x__sample_2542,ZT,652.506,1.151761,1.151761,0.0,1.151761,1.151761,2,1,10.1007_s10853-016-9980-x__sample_2542__figure_1636__prop_ZT__sid_11722__row_5522,-
10.1007_s10853-018-2209-4__sample_43851,ZT,400.633,0.690007,0.690007,0.0,0.690007,0.690007,2,1,10.1007_s10853-018-2209-4__sample_43851__figure_34072__prop_ZT__sid_33894__row_128448,-
10.1007_s10853-020-05586-3__sample_40770,Electrical conductivity,301.416,23190.232065,23190.232065,32730.414345855665,46.33413,46334.13,2,2,10.1007_s10853-020-05586-3__sample_40770__figure_31707__prop_Electrical_conductivity__sid_31303__row_118066;10.1007_s10853-020-05586-3__sample_40770__figure_31708__prop_Electrical_conductivity__sid_31303__row_118067,ohm^(-1)*m^(-1)
10.1007_s10853-020-05586-3__sample_40770,Electrical conductivity,318.574,22495.427955000003,22495.427955000003,31749.776189852662,44.94591,44945.91,2,2,10.1007_s10853-020-05586-3__sample_40770__figure_31707__prop_Electrical_conductivity__sid_31303__row_118066;10.1007_s10853-020-05586-3__sample_40770__figure_31708__prop_Electrical_conductivity__sid_31303__row_118067,ohm^(-1)*m^(-1)
10.1007_s10853-020-05586-3__sample_40770,Electrical conductivity,369.628,20789.99923,20789.99923,29342.75461930011,41.53846,41538.46,2,2,10.1007_s10853-020-05586-3__sample_40770__figure_31707__prop_Electrical_conductivity__sid_31303__row_118066;10.1007_s10853-020-05586-3__sample_40770__figure_31708__prop_Electrical_conductivity__sid_31303__row_118067,ohm^(-1)*m^(-1)
10.1007_s10853-020-05586-3__sample_40770,Electrical conductivity,423.094,19234.169955,19234.169955,27146.875911427327,38.42991,38429.91,2,2,10.1007_s10853-020-05586-3__sample_40770__figure_31707__prop_Electrical_conductivity__sid_31303__row_118066;10.1007_s10853-020-05586-3__sample_40770__figure_31708__prop_Electrical_conductivity__sid_31303__row_118067,ohm^(-1)*m^(-1)
10.1007_s10853-020-05586-3__sample_40770,Electrical conductivity,477.03,16712.35566,16712.35566,23587.617575965218,33.39132,33391.32,2,2,10.1007_s10853-020-05586-3__sample_40770__figure_31707__prop_Electrical_conductivity__sid_31303__row_118066;10.1007_s10853-020-05586-3__sample_40770__figure_31708__prop_Electrical_conductivity__sid_31303__row_118067,ohm^(-1)*m^(-1)
10.1007_s10853-020-05586-3__sample_40770,Electrical conductivity,530.748,15264.804555,15264.804555,21544.56137365329,30.49911,30499.11,2,2,10.1007_s10853-020-05586-3__sample_40770__figure_31707__prop_Electrical_conductivity__sid_31303__row_118066;10.1007_s10853-020-05586-3__sample_40770__figure_31708__prop_Electrical_conductivity__sid_31303__row_118067,ohm^(-1)*m^(-1)
10.1007_s10853-020-05586-3__sample_40770,Electrical conductivity,583.664,12250.663424999999,12250.663424999999,17290.43887046886,24.47685,24476.85,2,2,10.1007_s10853-020-05586-3__sample_40770__figure_31707__prop_Electrical_conductivity__sid_31303__row_118066;10.1007_s10853-020-05586-3__sample_40770__figure_31708__prop_Electrical_conductivity__sid_31303__row_118067,ohm^(-1)*m^(-1)
10.1007_s10853-020-05586-3__sample_40770,Electrical conductivity,621.067,11335.339015,11335.339015,15998.561017922846,22.64803,22648.03,2,2,10.1007_s10853-020-05586-3__sample_40770__figure_31707__prop_Electrical_conductivity__sid_31303__row_118066;10.1007_s10853-020-05586-3__sample_40770__figure_31708__prop_Electrical_conductivity__sid_31303__row_118067,ohm^(-1)*m^(-1)
10.1007_s10854-019-01874-0__sample_27695,Thermal conductivity,307.865,0.88768705,0.88768705,0.0005868279177066334,0.8872721,0.888102,2,1,10.1007_s10854-019-01874-0__sample_27695__figure_22239__prop_Thermal_conductivity__sid_24609__row_80519,W*m^(-1)*K^(-1)
10.1007_s11661-014-2343-9__sample_24602,Seebeck coefficient,223.91,8.243902e-05,8.243902e-05,0.0,8.243902e-05,8.243902e-05,2,1,10.1007_s11661-014-2343-9__sample_24602__figure_19941__prop_Seebeck_coefficient__sid_4074__row_72313,V*K^(-1)
10.1007_s11664-007-0174-9__sample_20888,Seebeck coefficient,365.502,-0.0001836072,-0.0001836072,0.0,-0.0001836072,-0.0001836072,2,1,10.1007_s11664-007-0174-9__sample_20888__figure_17382__prop_Seebeck_coefficient__sid_2281__row_63644,V*K^(-1)
10.1007_s11664-009-0786-3__sample_30017,Seebeck coefficient,387.936,3.990646e-05,3.990646e-05,9.532082253107165e-07,3.923244e-05,4.058048e-05,2,1,10.1007_s11664-009-0786-3__sample_30017__figure_24136__prop_Seebeck_coefficient__sid_11083__row_86988,V*K^(-1)
10.1007_s11664-009-0786-3__sample_30018,Seebeck coefficient,333.244,1.7792115000000003e-05,1.7792115000000003e-05,2.5996780810323284e-07,1.760829e-05,1.797594e-05,2,1,10.1007_s11664-009-0786-3__sample_30018__figure_24136__prop_Seebeck_coefficient__sid_11083__row_86989,V*K^(-1)
10.1007_s11664-010-1150-3__sample_8507,Seebeck coefficient,209.032,0.00021556784999999997,0.00021556784999999997,0.00011785115376798394,0.0001322345,0.0002989012,2,1,10.1007_s11664-010-1150-3__sample_8507__figure_6981__prop_Seebeck_coefficient__sid_2317__row_27364,V*K^(-1)
10.1007_s11664-010-1150-3__sample_8509,Electrical conductivity,119.4,426104.80000000005,426104.80000000005,57340.84452133574,385558.7,466650.9,2,1,10.1007_s11664-010-1150-3__sample_8509__figure_6984__prop_Electrical_conductivity__sid_2317__row_27373,ohm^(-1)*m^(-1)
10.1007_s11664-010-1150-3__sample_8509,Electrical conductivity,224.711,305411.75,305411.75,35987.28038967376,279964.9,330858.6,2,1,10.1007_s11664-010-1150-3__sample_8509__figure_6984__prop_Electrical_conductivity__sid_2317__row_27373,ohm^(-1)*m^(-1)
10.1007_s11664-010-1150-3__sample_8509,Electrical conductivity,529.561,162710.45,162710.45,35405.33150875724,137675.1,187745.8,2,1,10.1007_s11664-010-1150-3__sample_8509__figure_6984__prop_Electrical_conductivity__sid_2317__row_27373,ohm^(-1)*m^(-1)
10.1007_s11664-010-1151-2__sample_16892,Electrical conductivity,14.929,3726.252,3726.252,76.8596786878529,3671.904,3780.6,2,1,10.1007_s11664-010-1151-2__sample_16892__figure_14407__prop_Electrical_conductivity__sid_2315__row_53553,ohm^(-1)*m^(-1)
10.1007_s11664-010-1484-x__sample_15027,Seebeck coefficient,328.574,-0.0001126122,-0.0001126122,1.6058395000746535e-06,-0.0001137477,-0.0001114767,2,1,10.1007_s11664-010-1484-x__sample_15027__figure_12747__prop_Seebeck_coefficient__sid_11124__row_48437,V*K^(-1)
10.1007_s11664-012-1914-z__sample_30275,Electrical conductivity,219.398,143206.2,143206.2,0.0,143206.2,143206.2,2,1,10.1007_s11664-012-1914-z__sample_30275__figure_24308__prop_Electrical_conductivity__sid_2366__row_87576,ohm^(-1)*m^(-1)
10.1007_s11664-012-1987-8__sample_10140,Thermal conductivity,7.95,1.294,1.294,1.1398561312727147,0.488,2.1,2,1,10.1007_s11664-012-1987-8__sample_10140__figure_8228__prop_Thermal_conductivity__sid_2386__row_32809,W*m^(-1)*K^(-1)
10.1007_s11664-012-2048-z__sample_11437,Thermal conductivity,6.303,1.811317,1.811317,0.33941125496954283,1.571317,2.051317,2,1,10.1007_s11664-012-2048-z__sample_11437__figure_9441__prop_Thermal_conductivity__sid_2399__row_36749,W*m^(-1)*K^(-1)
10.1007_s11664-012-2048-z__sample_11437,Thermal conductivity,10.084,2.903978,2.903978,0.2262741699796954,2.743978,3.063978,2,1,10.1007_s11664-012-2048-z__sample_11437__figure_9441__prop_Thermal_conductivity__sid_2399__row_36749,W*m^(-1)*K^(-1)
10.1007_s11664-012-2048-z__sample_11437,Thermal conductivity,230.672,7.264762,7.264762,0.1131370849898477,7.184762,7.344762,2,1,10.1007_s11664-012-2048-z__sample_11437__figure_9441__prop_Thermal_conductivity__sid_2399__row_36749,W*m^(-1)*K^(-1)
10.1007_s11664-013-2745-2__sample_32397,Electrical conductivity,55.709,111256.8,111256.8,0.0,111256.8,111256.8,2,1,10.1007_s11664-013-2745-2__sample_32397__figure_25912__prop_Electrical_conductivity__sid_10789__row_93479,ohm^(-1)*m^(-1)
10.1007_s11664-016-4850-5__sample_22052,Seebeck coefficient,322.951,-0.0001780105,-0.0001780105,1.4808230211608565e-06,-0.0001790576,-0.0001769634,2,1,10.1007_s11664-016-4850-5__sample_22052__figure_18278__prop_Seebeck_coefficient__sid_11018__row_66801,V*K^(-1)
10.1007_s11664-016-4850-5__sample_22052,Seebeck coefficient,475.41,-0.00020340315,-0.00020340315,1.1106526212097258e-06,-0.0002041885,-0.0002026178,2,1,10.1007_s11664-016-4850-5__sample_22052__figure_18278__prop_Seebeck_coefficient__sid_11018__row_66801,V*K^(-1)
10.1007_s11664-016-4850-5__sample_22052,Seebeck coefficient,498.361,-0.00020575915000000002,-0.00020575915000000002,7.404115105804523e-07,-0.0002062827,-0.0002052356,2,1,10.1007_s11664-016-4850-5__sample_22052__figure_18278__prop_Seebeck_coefficient__sid_11018__row_66801,V*K^(-1)
10.1007_s11664-019-07720-7__sample_35566,Electrical conductivity,322.604,734.6939,734.6939,0.0,734.6939,734.6939,2,1,10.1007_s11664-019-07720-7__sample_35566__figure_28090__prop_Electrical_conductivity__sid_24026__row_102415,ohm^(-1)*m^(-1)
10.1007_s12598-020-01392-7__sample_84007,Thermal conductivity,6.163,3.7275,3.7275,0.6696301217836601,3.254,4.201,2,1,10.1007_s12598-020-01392-7__sample_84007__figure_55950__prop_Thermal_conductivity__sid_49794__row_196762,W*m^(-1)*K^(-1)
10.1007_s12598-020-01392-7__sample_84007,Thermal conductivity,7.704,5.0595,5.0595,0.5437651147324551,4.675,5.444,2,1,10.1007_s12598-020-01392-7__sample_84007__figure_55950__prop_Thermal_conductivity__sid_49794__row_196762,W*m^(-1)*K^(-1)
10.1007_s12598-020-01392-7__sample_84007,Thermal conductivity,15.41,7.455500000000001,7.455500000000001,0.3768879143724298,7.189,7.722,2,1,10.1007_s12598-020-01392-7__sample_84007__figure_55950__prop_Thermal_conductivity__sid_49794__row_196762,W*m^(-1)*K^(-1)
10.1016_0025-5408_81_90119-7__sample_13999,Electrical conductivity,235.9,59781.47,59781.47,987.9413104025992,59082.89,60480.05,2,1,10.1016_0025-5408_81_90119-7__sample_13999__figure_11789__prop_Electrical_conductivity__sid_3788__row_45371,ohm^(-1)*m^(-1)
10.1016_j.cej.2019.04.081__sample_27414,ZT,303.073,0.1052632,0.1052632,0.0,0.1052632,0.1052632,2,1,10.1016_j.cej.2019.04.081__sample_27414__figure_22024__prop_ZT__sid_21345__row_79687,-
10.1016_j.ceramint.2016.04.014__sample_29176,ZT,333.688,0.00102736,0.00102736,1.1047836349258694e-05,0.001019548,0.001035172,2,1,10.1016_j.ceramint.2016.04.014__sample_29176__figure_23441__prop_ZT__sid_7281__row_84659,-
10.1016_j.compositesb.2018.08.070__sample_27516,Seebeck coefficient,660.554,0.0004528302,0.0004528302,0.0,0.0004528302,0.0004528302,2,1,10.1016_j.compositesb.2018.08.070__sample_27516__figure_22092__prop_Seebeck_coefficient__sid_24839__row_79969,V*K^(-1)
10.1016_j.intermet.2009.07.011__sample_11092,Electrical conductivity,228.198,12882.77,12882.77,0.0,12882.77,12882.77,2,1,10.1016_j.intermet.2009.07.011__sample_11092__figure_9159__prop_Electrical_conductivity__sid_8667__row_35715,ohm^(-1)*m^(-1)
10.1016_j.intermet.2013.07.007__sample_1548,Seebeck coefficient,486.15,0.00016150000000000002,0.00016150000000000002,7.071067811865552e-07,0.000161,0.000162,2,1,10.1016_j.intermet.2013.07.007__sample_1548__figure_908__prop_Seebeck_coefficient__sid_1271__row_3324,V*K^(-1)
10.1016_j.intermet.2013.07.007__sample_1548,Seebeck coefficient,585.15,0.00011,0.00011,0.0,0.00011,0.00011,2,1,10.1016_j.intermet.2013.07.007__sample_1548__figure_908__prop_Seebeck_coefficient__sid_1271__row_3324,V*K^(-1)
10.1016_j.intermet.2013.07.007__sample_1550,Electrical conductivity,375.15,8570.0,8570.0,169.7056274847714,8450.0,8690.0,2,1,10.1016_j.intermet.2013.07.007__sample_1550__figure_906__prop_Electrical_conductivity__sid_1271__row_3314,ohm^(-1)*m^(-1)
10.1016_j.intermet.2013.07.007__sample_1550,Electrical conductivity,451.15,12550.0,12550.0,212.13203435596427,12400.0,12700.0,2,1,10.1016_j.intermet.2013.07.007__sample_1550__figure_906__prop_Electrical_conductivity__sid_1271__row_3314,ohm^(-1)*m^(-1)
10.1016_j.intermet.2013.07.007__sample_1550,Electrical conductivity,530.15,16150.0,16150.0,212.13203435596427,16000.0,16300.0,2,1,10.1016_j.intermet.2013.07.007__sample_1550__figure_906__prop_Electrical_conductivity__sid_1271__row_3314,ohm^(-1)*m^(-1)
10.1016_j.jallcom.2004.06.047__sample_1570,Seebeck coefficient,444.0,0.00013,0.00013,0.0,0.00013,0.00013,2,1,10.1016_j.jallcom.2004.06.047__sample_1570__figure_924__prop_Seebeck_coefficient__sid_1502__row_3360,V*K^(-1)
10.1016_j.jallcom.2004.06.047__sample_1570,Thermal conductivity,348.0,1.86,1.86,0.0,1.86,1.86,2,1,10.1016_j.jallcom.2004.06.047__sample_1570__figure_926__prop_Thermal_conductivity__sid_1502__row_3366,W*m^(-1)*K^(-1)
10.1016_j.jallcom.2004.06.047__sample_1570,Thermal conductivity,474.0,1.835,1.835,0.007071067811865403,1.83,1.84,2,1,10.1016_j.jallcom.2004.06.047__sample_1570__figure_926__prop_Thermal_conductivity__sid_1502__row_3366,W*m^(-1)*K^(-1)
10.1016_j.jallcom.2004.06.047__sample_1571,Thermal conductivity,378.0,1.6549999999999998,1.6549999999999998,0.00707106781186556,1.65,1.66,2,1,10.1016_j.jallcom.2004.06.047__sample_1571__figure_926__prop_Thermal_conductivity__sid_1502__row_3367,W*m^(-1)*K^(-1)
10.1016_j.jallcom.2004.06.047__sample_1572,Thermal conductivity,351.0,1.775,1.775,0.007071067811865403,1.77,1.78,2,1,10.1016_j.jallcom.2004.06.047__sample_1572__figure_926__prop_Thermal_conductivity__sid_1502__row_3368,W*m^(-1)*K^(-1)
10.1016_j.jallcom.2004.06.047__sample_1572,Thermal conductivity,447.0,1.71,1.71,0.0,1.71,1.71,2,1,10.1016_j.jallcom.2004.06.047__sample_1572__figure_926__prop_Thermal_conductivity__sid_1502__row_3368,W*m^(-1)*K^(-1)
10.1016_j.jallcom.2005.01.046__sample_1578,Seebeck coefficient,316.0,0.0002235,0.0002235,7.071067811865552e-07,0.000223,0.000224,2,1,10.1016_j.jallcom.2005.01.046__sample_1578__figure_930__prop_Seebeck_coefficient__sid_1522__row_3383,V*K^(-1)
10.1016_j.jallcom.2005.01.046__sample_1584,Seebeck coefficient,443.0,0.00018449999999999999,0.00018449999999999999,3.5355339059327374e-06,0.000182,0.000187,2,1,10.1016_j.jallcom.2005.01.046__sample_1584__figure_930__prop_Seebeck_coefficient__sid_1522__row_3389,V*K^(-1)
10.1016_j.jallcom.2021.159224__sample_45017,Thermal conductivity,9.75,2.014409,2.014409,0.07335950012097964,1.962536,2.066282,2,1,10.1016_j.jallcom.2021.159224__sample_45017__figure_34892__prop_Thermal_conductivity__sid_32413__row_131793,W*m^(-1)*K^(-1)
10.1016_j.jpcs.2014.01.002__sample_28484,Electrical conductivity,122.748,51668.64,51668.64,0.0,51668.64,51668.64,2,1,10.1016_j.jpcs.2014.01.002__sample_28484__figure_22897__prop_Electrical_conductivity__sid_3175__row_82804,ohm^(-1)*m^(-1)
10.1016_j.jssc.2012.03.042__sample_8649,Seebeck coefficient,7.103,6.748727e-06,6.748727e-06,1.9808592383311845e-06,5.348048e-06,8.149406e-06,2,1,10.1016_j.jssc.2012.03.042__sample_8649__figure_7117__prop_Seebeck_coefficient__sid_12928__row_27826,V*K^(-1)
10.1016_j.matlet.2003.12.034__sample_10797,Seebeck coefficient,418.124,0.0001705811,0.0001705811,2.2377101197429387e-06,0.0001689988,0.0001721634,2,1,10.1016_j.matlet.2003.12.034__sample_10797__figure_8865__prop_Seebeck_coefficient__sid_3742__row_34669,V*K^(-1)
10.1016_j.matlet.2004.11.008__sample_10810,Electrical conductivity,436.535,3492.703,3492.703,0.0,3492.703,3492.703,2,1,10.1016_j.matlet.2004.11.008__sample_10810__figure_8887__prop_Electrical_conductivity__sid_3746__row_34725,ohm^(-1)*m^(-1)
10.1016_j.matlet.2004.11.008__sample_10810,Seebeck coefficient,330.717,-3.769231e-05,-3.769231e-05,3.62618499528086e-07,-3.794872e-05,-3.74359e-05,2,1,10.1016_j.matlet.2004.11.008__sample_10810__figure_8885__prop_Seebeck_coefficient__sid_3746__row_34721,V*K^(-1)
10.1016_j.mseb.2005.11.032__sample_25895,Electrical conductivity,704.705,28883.05,28883.05,0.0,28883.05,28883.05,2,1,10.1016_j.mseb.2005.11.032__sample_25895__figure_20850__prop_Electrical_conductivity__sid_3902__row_98893,ohm^(-1)*m^(-1)
10.1016_j.mssp.2014.07.052__sample_4607,Electrical conductivity,538.596,7407.6494999999995,7407.6494999999995,368.9251849094888,7146.78,7668.519,2,1,10.1016_j.mssp.2014.07.052__sample_4607__figure_3382__prop_Electrical_conductivity__sid_3941__row_13811,ohm^(-1)*m^(-1)
