prefactor_group_key_step12,temperature_bin_K_step12,prefactor_source_step12,row_count,sample_count,median_prefactor_C_S_per_m_step12,min_prefactor_C_S_per_m_step12,max_prefactor_C_S_per_m_step12,example_sample_keys
material_system=unknown|n_or_p=p|fitting_source_actual_step10=Electrical resistivity|temperature_bin_K_step12=750.0,750.0,material_system+n_or_p+fitting_source+temperature_bin,1424,1191,31644.619885888398,31575.194905784352,31737.150583424944,10.1002_adfm.200500043__sample_5861;10.1002_adfm.200500043__sample_5862;10.1002_adfm.200500043__sample_5863;10.1002_adfm.200500043__sample_5864;10.1002_adfm.200500043__sample_5865
material_system=unknown|n_or_p=p|fitting_source_actual_step10=Electrical resistivity|temperature_bin_K_step12=775.0,775.0,material_system+n_or_p+fitting_source+temperature_bin,1486,1281,29063.869496299674,28847.05326298775,29263.75037786817,10.1002_adfm.200500043__sample_5861;10.1002_adfm.200500043__sample_5862;10.1002_adfm.200500043__sample_5863;10.1002_adfm.200500043__sample_5864;10.1002_adfm.200500043__sample_5865
material_system=unknown|n_or_p=p|fitting_source_actual_step10=Electrical resistivity|temperature_bin_K_step12=800.0,800.0,material_system+n_or_p+fitting_source+temperature_bin,1005,879,30063.578455718158,29531.149604539292,30168.57900260868,10.1002_adfm.200500043__sample_5861;10.1002_adfm.200800298__sample_5866;10.1002_adfm.200800298__sample_5868;10.1002_adfm.200800298__sample_5870;10.1002_adfm.200800298__sample_5871
material_system=unknown|n_or_p=p|fitting_source_actual_step10=Electrical resistivity|temperature_bin_K_step12=825.0,825.0,material_system+n_or_p+fitting_source+temperature_bin,886,790,25235.66960547465,25179.21304887537,25372.863799640516,10.1002_adfm.200800298__sample_5867;10.1002_adfm.200800298__sample_5869;10.1002_adfm.201000970__sample_5873;10.1002_adfm.201000970__sample_5874;10.1002_adfm.201000970__sample_5875
material_system=unknown|n_or_p=p|fitting_source_actual_step10=Electrical resistivity|temperature_bin_K_step12=850.0,850.0,material_system+n_or_p+fitting_source+temperature_bin,728,630,22007.113822816056,21901.702966914192,22181.84633259771,10.1002_adfm.200800298__sample_5866;10.1002_adfm.200800298__sample_5868;10.1002_adfm.200800298__sample_5870;10.1002_adfm.200800298__sample_5871;10.1002_adfm.201000970__sample_5874
material_system=unknown|n_or_p=p|fitting_source_actual_step10=Electrical resistivity|temperature_bin_K_step12=875.0,875.0,material_system+n_or_p+fitting_source+temperature_bin,778,699,22232.669926420094,22022.857288854786,22287.73649146769,10.1002_adfm.200800298__sample_5867;10.1002_adfm.200800298__sample_5869;10.1002_adfm.200800298__sample_5871;10.1002_adfm.201000970__sample_5875;10.1002_adfm.201606361__sample_31217
material_system=unknown|n_or_p=p|fitting_source_actual_step10=Electrical resistivity|temperature_bin_K_step12=900.0,900.0,material_system+n_or_p+fitting_source+temperature_bin,489,426,18944.129971886912,18699.918113058586,19003.70420202306,10.1002_adfm.200800298__sample_5866;10.1002_adfm.200800298__sample_5868;10.1002_adfm.200800298__sample_5869;10.1002_adfm.200800298__sample_5870;10.1002_adfm.200800298__sample_5871
material_system=unknown|n_or_p=p|fitting_source_actual_step10=Electrical resistivity|temperature_bin_K_step12=925.0,925.0,material_system+n_or_p+fitting_source+temperature_bin,466,409,16916.88901857969,16663.264834058176,17120.56128048102,10.1002_adfm.200800298__sample_5867;10.1002_adfm.200800298__sample_5871;10.1002_adfm.201000970__sample_5875;10.1002_adma.200600527__sample_26771;10.1002_adma.201605887__sample_2949
material_system=unknown|n_or_p=p|fitting_source_actual_step10=Electrical resistivity|temperature_bin_K_step12=950.0,950.0,material_system+n_or_p+fitting_source+temperature_bin,424,378,14874.972228869101,14690.828574484263,15134.422252216411,10.1002_adfm.200800298__sample_5866;10.1002_adfm.200800298__sample_5868;10.1002_adfm.200800298__sample_5869;10.1002_adfm.200800298__sample_5870;10.1002_adfm.201000970__sample_5875
material_system=unknown|n_or_p=p|fitting_source_actual_step10=Electrical resistivity|temperature_bin_K_step12=975.0,975.0,material_system+n_or_p+fitting_source+temperature_bin,446,399,15582.91546279569,14970.40052408378,15927.179057971596,10.1002_adfm.200800298__sample_5867;10.1002_adfm.200800298__sample_5870;10.1002_adfm.200800298__sample_5871;10.1002_adfm.201000970__sample_5875;10.1002_adfm.201905044__sample_83181
material_system=unknown|n_or_p=p|temperature_bin_K_step12=1250.0,1250.0,material_system+n_or_p+temperature_bin,2,2,16476.60822090484,16476.60822090484,16476.60822090484,10.1016_j.jallcom.2013.05.019__sample_25260;10.1016_j.jallcom.2013.05.019__sample_25261
material_system=unknown|n_or_p=p|temperature_bin_K_step12=1275.0,1275.0,material_system+n_or_p+temperature_bin,3,3,13123.844066467886,13123.844066467886,13123.844066467886,10.1016_j.jallcom.2013.05.019__sample_25259;10.1016_j.jallcom.2013.05.019__sample_25260;10.1016_j.jallcom.2013.05.019__sample_25261
material_system=unknown|n_or_p=p|temperature_bin_K_step12=1300.0,1300.0,material_system+n_or_p+temperature_bin,6,6,9899.547073858874,2410.962,17388.132147717748,10.1002_adfm.200800298__sample_5866;10.1016_s0272-8842_99_00089-9__sample_19842;10.1016_s0272-8842_99_00089-9__sample_19843;10.1016_s0272-8842_99_00089-9__sample_19844;10.1021_ic300567c__sample_6279
"temperature_bin_K_step12=(1400.0,)",1400.0,temperature_bin,4,4,14438.160271930246,9900.441163658252,18975.87938020224,10.1016_s0272-8842_99_00089-9__sample_19844;10.1063_1.336088__sample_6971;10.1063_1.336088__sample_6972;10.1063_1.336088__sample_6973
