prefactor_group_key_step12,temperature_bin_K_step12,prefactor_source_step12,row_count,sample_count,median_prefactor_C_S_per_m_step12,min_prefactor_C_S_per_m_step12,max_prefactor_C_S_per_m_step12,example_sample_keys
material_system=unknown|n_or_p=p|fitting_source_actual_step10=Electrical conductivity|temperature_bin_K_step12=875.0,875.0,material_system+n_or_p+fitting_source+temperature_bin,1123,1073,21851.08,21661.7,21965.925,10.1002_adem.201400183__sample_19725;10.1002_adem.201400183__sample_19726;10.1002_adem.201400183__sample_19727;10.1002_adem.201400183__sample_19728;10.1002_adem.201400183__sample_19729
material_system=unknown|n_or_p=p|fitting_source_actual_step10=Electrical conductivity|temperature_bin_K_step12=900.0,900.0,material_system+n_or_p+fitting_source+temperature_bin,540,510,19492.114999999998,19420.6,19561.53,10.1002_adem.201200233__sample_18985;10.1002_adem.201200233__sample_18987;10.1002_adem.201200233__sample_18989;10.1002_adfm.201908315__sample_36216;10.1002_adfm.201908315__sample_36217
material_system=unknown|n_or_p=p|fitting_source_actual_step10=Electrical conductivity|temperature_bin_K_step12=925.0,925.0,material_system+n_or_p+fitting_source+temperature_bin,465,424,18080.36,18040.82,18342.485,10.1002_adma.201501030__sample_42636;10.1002_aenm.201601450__sample_3187;10.1002_aenm.201601450__sample_3188;10.1002_aenm.201601450__sample_3189;10.1002_aenm.201601450__sample_3190
material_system=unknown|n_or_p=p|fitting_source_actual_step10=Electrical conductivity|temperature_bin_K_step12=950.0,950.0,material_system+n_or_p+fitting_source+temperature_bin,335,316,18795.015,18490.03,19100.0,10.1002_adem.201200233__sample_18985;10.1002_adem.201200233__sample_18987;10.1002_adem.201200233__sample_18989;10.1002_adfm.201908315__sample_36216;10.1002_adfm.201908315__sample_36217
material_system=unknown|n_or_p=p|fitting_source_actual_step10=Electrical conductivity|temperature_bin_K_step12=975.0,975.0,material_system+n_or_p+fitting_source+temperature_bin,338,323,31982.629999999997,31200.0,32432.99,10.1002_adma.201501030__sample_42636;10.1002_advs.201800278__sample_15613;10.1002_advs.201800278__sample_15614;10.1002_advs.201800278__sample_15616;10.1002_advs.201800278__sample_15617
material_system=unknown|n_or_p=p|fitting_source_actual_step10=Electrical resistivity|temperature_bin_K_step12=0.0,0.0,material_system+n_or_p+fitting_source+temperature_bin,1938,708,42003.48208866515,36747.5885313716,43933.79664322533,10.1002_adfm.201503022__sample_13340;10.1007_bf00661543__sample_17664;10.1007_bf00661543__sample_17665;10.1007_bf00661543__sample_17666;10.1007_bf00661543__sample_17667
material_system=unknown|n_or_p=p|fitting_source_actual_step10=Electrical resistivity|temperature_bin_K_step12=100.0,100.0,material_system+n_or_p+fitting_source+temperature_bin,3046,1113,25719.820860218748,25362.544029107587,26305.93861948356,10.1002_adfm.201503022__sample_13340;10.1002_adfm.201503022__sample_13341;10.1002_aenm.201100460__sample_21008;10.1002_aenm.201100460__sample_21009;10.1002_aenm.201100460__sample_21010
material_system=unknown|n_or_p=p|fitting_source_actual_step10=Electrical resistivity|temperature_bin_K_step12=1000.0,1000.0,material_system+n_or_p+fitting_source+temperature_bin,263,222,15572.599330894565,15450.23371568542,15791.14318452423,10.1002_adfm.200800298__sample_5866;10.1002_adfm.200800298__sample_5868;10.1002_adfm.200800298__sample_5869;10.1002_adfm.200800298__sample_5871;10.1002_adfm.201000970__sample_5875
material_system=unknown|n_or_p=p|fitting_source_actual_step10=Electrical resistivity|temperature_bin_K_step12=1025.0,1025.0,material_system+n_or_p+fitting_source+temperature_bin,230,201,17475.762428194277,17092.042112994626,17849.406481254526,10.1002_adfm.200800298__sample_5871;10.1002_adfm.201000970__sample_5875;10.1002_adma.200600527__sample_26771;10.1002_pssa.201026347__sample_33743;10.1002_pssa.201026347__sample_33744
material_system=unknown|n_or_p=p|fitting_source_actual_step10=Electrical resistivity|temperature_bin_K_step12=1050.0,1050.0,material_system+n_or_p+fitting_source+temperature_bin,216,183,14243.878083750706,13881.23713375626,14548.120819233778,10.1002_adfm.200800298__sample_5866;10.1002_adfm.200800298__sample_5867;10.1002_adfm.200800298__sample_5868;10.1002_adfm.200800298__sample_5869;10.1002_adfm.200800298__sample_5870
material_system=unknown|n_or_p=p|fitting_source_actual_step10=Electrical resistivity|temperature_bin_K_step12=1075.0,1075.0,material_system+n_or_p+fitting_source+temperature_bin,207,182,17113.63398579698,16978.441542155037,17329.58008497637,10.1002_adfm.200800298__sample_5867;10.1002_adfm.200800298__sample_5869;10.1002_adfm.200800298__sample_5870;10.1002_adfm.200800298__sample_5871;10.1002_adfm.201000970__sample_5875
material_system=unknown|n_or_p=p|fitting_source_actual_step10=Electrical resistivity|temperature_bin_K_step12=1100.0,1100.0,material_system+n_or_p+fitting_source+temperature_bin,118,100,15233.70321293152,14713.022496211395,15273.643426031567,10.1002_adfm.200800298__sample_5866;10.1002_adfm.200800298__sample_5868;10.1002_adma.201004782__sample_20287;10.1002_adma.201004782__sample_20288;10.1002_adma.201004782__sample_20289
material_system=unknown|n_or_p=p|fitting_source_actual_step10=Electrical resistivity|temperature_bin_K_step12=1125.0,1125.0,material_system+n_or_p+fitting_source+temperature_bin,84,73,17081.604456252666,16472.12808858579,17692.307420118348,10.1002_adfm.200800298__sample_5869;10.1002_adfm.200800298__sample_5870;10.1002_adfm.200800298__sample_5871;10.1002_adma.200600527__sample_26771;10.1002_zaac.200700267__sample_6415
material_system=unknown|n_or_p=p|fitting_source_actual_step10=Electrical resistivity|temperature_bin_K_step12=1150.0,1150.0,material_system+n_or_p+fitting_source+temperature_bin,89,74,14278.199372283947,14090.91344628234,14461.681965921049,10.1002_adfm.200800298__sample_5866;10.1002_adfm.200800298__sample_5867;10.1002_adfm.200800298__sample_5868;10.1002_adfm.200800298__sample_5871;10.1002_adma.201004782__sample_20287
material_system=unknown|n_or_p=p|fitting_source_actual_step10=Electrical resistivity|temperature_bin_K_step12=1175.0,1175.0,material_system+n_or_p+fitting_source+temperature_bin,97,85,16485.202656678768,16406.340478937316,16781.386903999773,10.1002_adfm.200800298__sample_5869;10.1002_adfm.200800298__sample_5870;10.1002_adfm.200800298__sample_5871;10.1002_adfm.200800298__sample_5872;10.1007_s10853-008-2561-x__sample_18724
material_system=unknown|n_or_p=p|fitting_source_actual_step10=Electrical resistivity|temperature_bin_K_step12=1200.0,1200.0,material_system+n_or_p+fitting_source+temperature_bin,61,56,16671.179753333687,16407.954248060374,17026.066299785874,10.1002_adfm.200800298__sample_5866;10.1002_adfm.200800298__sample_5867;10.1002_adfm.200800298__sample_5868;10.1002_adfm.200800298__sample_5872;10.1007_s11664-010-1149-9__sample_6341
material_system=unknown|n_or_p=p|fitting_source_actual_step10=Electrical resistivity|temperature_bin_K_step12=1225.0,1225.0,material_system+n_or_p+fitting_source+temperature_bin,41,30,17355.047392454202,16710.699359478895,17951.884234238503,10.1002_adfm.200800298__sample_5869;10.1002_adfm.200800298__sample_5870;10.1002_adfm.200800298__sample_5871;10.1002_adfm.200800298__sample_5872;10.1002_adma.200600527__sample_26771
material_system=unknown|n_or_p=p|fitting_source_actual_step10=Electrical resistivity|temperature_bin_K_step12=125.0,125.0,material_system+n_or_p+fitting_source+temperature_bin,2878,1096,29379.727353037266,29109.45445971397,29817.77759754588,10.1002_adfm.201503022__sample_13340;10.1002_adfm.201503022__sample_13341;10.1002_aenm.201100460__sample_21008;10.1002_aenm.201100460__sample_21010;10.1002_aenm.201100460__sample_21012
material_system=unknown|n_or_p=p|fitting_source_actual_step10=Electrical resistivity|temperature_bin_K_step12=1250.0,1250.0,material_system+n_or_p+fitting_source+temperature_bin,51,48,16345.879533362579,16155.81181904263,16476.60822090484,10.1002_adfm.200800298__sample_5866;10.1002_adfm.200800298__sample_5867;10.1002_adfm.200800298__sample_5868;10.1002_adfm.200800298__sample_5869;10.1002_adfm.200800298__sample_5871
material_system=unknown|n_or_p=p|fitting_source_actual_step10=Electrical resistivity|temperature_bin_K_step12=1275.0,1275.0,material_system+n_or_p+fitting_source+temperature_bin,20,20,12847.576757567065,12844.276378515173,12850.87713661896,10.1002_adfm.200800298__sample_5867;10.1002_adfm.200800298__sample_5868;10.1002_adfm.200800298__sample_5869;10.1002_adfm.200800298__sample_5870;10.1002_adfm.200800298__sample_5871
material_system=unknown|n_or_p=p|fitting_source_actual_step10=Electrical resistivity|temperature_bin_K_step12=150.0,150.0,material_system+n_or_p+fitting_source+temperature_bin,2864,1117,29142.5278877644,28860.195919397236,29561.755838225065,10.1002_adfm.201503022__sample_13340;10.1002_adfm.201503022__sample_13341;10.1002_aenm.201100460__sample_21008;10.1002_aenm.201100460__sample_21009;10.1002_aenm.201100460__sample_21010
material_system=unknown|n_or_p=p|fitting_source_actual_step10=Electrical resistivity|temperature_bin_K_step12=175.0,175.0,material_system+n_or_p+fitting_source+temperature_bin,2817,1120,28272.54735651682,27789.897657573652,28480.35652849517,10.1002_adfm.201503022__sample_13340;10.1002_adfm.201503022__sample_13341;10.1002_aenm.201100460__sample_21008;10.1002_aenm.201100460__sample_21009;10.1002_aenm.201100460__sample_21011
material_system=unknown|n_or_p=p|fitting_source_actual_step10=Electrical resistivity|temperature_bin_K_step12=200.0,200.0,material_system+n_or_p+fitting_source+temperature_bin,2865,1144,28079.428841953813,27565.03694817552,28265.379122116898,10.1002_adfm.201503022__sample_13340;10.1002_adfm.201503022__sample_13341;10.1002_aenm.201100460__sample_21008;10.1002_aenm.201100460__sample_21010;10.1002_aenm.201100460__sample_21012
material_system=unknown|n_or_p=p|fitting_source_actual_step10=Electrical resistivity|temperature_bin_K_step12=225.0,225.0,material_system+n_or_p+fitting_source+temperature_bin,2901,1133,26495.931862635556,26038.971462757894,27013.618969633106,10.1002_aenm.201100460__sample_21008;10.1002_aenm.201100460__sample_21009;10.1002_aenm.201100460__sample_21011;10.1002_aenm.201100460__sample_21022;10.1002_aenm.201100460__sample_21023
material_system=unknown|n_or_p=p|fitting_source_actual_step10=Electrical resistivity|temperature_bin_K_step12=25.0,25.0,material_system+n_or_p+fitting_source+temperature_bin,3290,901,24837.91398282657,23380.102913235532,26196.596411590064,10.1002_adfm.201503022__sample_13340;10.1002_adfm.201503022__sample_13341;10.1007_s00339-015-9089-0__sample_18777;10.1007_s00339-015-9089-0__sample_18778;10.1007_s00339-015-9089-0__sample_18779
material_system=unknown|n_or_p=p|fitting_source_actual_step10=Electrical resistivity|temperature_bin_K_step12=250.0,250.0,material_system+n_or_p+fitting_source+temperature_bin,3206,1148,25315.212366785025,24688.828181803598,25595.57053294585,10.1002_adfm.201503022__sample_13340;10.1002_adfm.201503022__sample_13341;10.1002_aenm.201100460__sample_21008;10.1002_aenm.201100460__sample_21009;10.1002_aenm.201100460__sample_21010
material_system=unknown|n_or_p=p|fitting_source_actual_step10=Electrical resistivity|temperature_bin_K_step12=275.0,275.0,material_system+n_or_p+fitting_source+temperature_bin,2956,1141,31118.49953578386,30697.433894273698,31695.851678628154,10.1002_adfm.201503022__sample_13340;10.1002_adfm.201503022__sample_13341;10.1002_advs.201903493__sample_38383;10.1002_advs.201903493__sample_38404;10.1002_aenm.201100460__sample_21008
