material_system,n_or_p,sample_count,zt_eval_sample_count,median_pf_mape_step15,median_zt_pred_vs_obs_mape_step15,median_zt_pred_vs_calc_mape_step15,median_zt_pred_vs_obs_log_rmse_step15,median_zt_pred_vs_calc_log_rmse_step15,good_prediction_sample_count,large_error_sample_count,high_zt_observed_sample_count,high_zt_predicted_sample_count,high_zt_true_positive_count,high_zt_false_negative_count,high_zt_false_positive_count,manual_review_sample_count,sintering_check_sample_count,nanocarbon_sample_count,rare_metal_flag_sample_count,toxicity_flag_sample_count
unknown,n,8239,2581,0.1673439735486215,0.1668120445089765,0.1569646497295772,0.1928834043226318,0.1789958190466849,1828,367,587,757,402,108,271,1205,1317,17,6643,4932
unknown,p,10227,3781,0.1827325029787667,0.1945595229830051,0.176281791578034,0.2214265206876789,0.2042855726158809,2629,471,1190,1233,791,251,359,1997,2114,7,8804,7796
