sample_key,material_system,n_or_p,composition,DOI,paper_title,zt_obs_max_step14,zt_pred_max_step14,zt_calc_from_obs_max_step14,pf_mape_step14,zt_pred_vs_obs_mape_step14,zt_pred_vs_calc_mape_step14,tau_eff_step12,nanocarbon_keyword_detected_step9,nanocarbon_type_auto_step9,rare_metal_flag_auto_step9,toxicity_flag_auto_step9,additive_auto_step9,additive_manual_step9,structure_auto_step9,structure_manual_step9,needs_manual_review_step15,needs_sintering_check_later_step15,doi_url
10.1016_j.scriptamat.2020.03.018__sample_28481,unknown,p,Ge0.94Bi0.06Te(SiC)0.008,10.1016/j.scriptamat.2020.03.018,,1.828899,2.04947772134756,1.9011499410041437,0.11410406233563623,0.11859247161526312,0.11410406233563805,1.4893599046445194,False,unknown,True,True,unknown,,unknown,,yes,yes,https://doi.org/10.1016/j.scriptamat.2020.03.018
10.1039_c9tc03410b__sample_39824,unknown,p,(CoGe2)0.22(GeTe)19Sb2Te3,10.1039/c9tc03410b,,1.828634,1.9371290404381278,1.8384862776348745,0.15744053742319467,0.1565561771808522,0.15744053742318864,1.9146588042559372,False,unknown,True,True,unknown,,unknown,,yes,yes,https://doi.org/10.1039/c9tc03410b
10.1016_j.mtphys.2021.100444__sample_45588,unknown,p,(Ge0.9Sb0.1Te)0.98(FeTe2)0.02,10.1016/j.mtphys.2021.100444,,1.826325,1.6282647710276825,1.8141146012740597,0.13452055107121996,0.1431581472522749,0.12720528362534808,2.0715679066390043,False,unknown,True,True,unknown,,unknown,,yes,yes,https://doi.org/10.1016/j.mtphys.2021.100444
10.1016_j.mtphys.2021.100497__sample_45595,unknown,p,Ge0.76Pb0.1Sb0.1Te,10.1016/j.mtphys.2021.100497,,1.825997,1.5673773857808042,1.899375762912152,0.4632109307097966,0.46873416404433893,0.4544770964242821,0.4784705929451639,False,unknown,True,True,unknown,,unknown,,yes,yes,https://doi.org/10.1016/j.mtphys.2021.100497
10.1016_j.jallcom.2019.07.120__sample_39345,unknown,p,Ge0.97Bi0.03Te,10.1016/j.jallcom.2019.07.120,,1.825665,3.1118994438635053,1.8149421158341503,0.3338560930524347,0.45046728563149224,0.624689510511851,4.680719496455004,False,unknown,True,True,unknown,,unknown,,yes,yes,https://doi.org/10.1016/j.jallcom.2019.07.120
10.1002_aenm.201601450__sample_3187,unknown,p,PbTeNa0.02(SrTe)0.04,10.1002/aenm.201601450,,1.823886,3.0491196262768496,2.041020150709405,0.3407293530401633,0.1579948296722586,0.3407293530401386,2.0402740301061724,False,unknown,True,True,unknown,,unknown,,yes,yes,https://doi.org/10.1002/aenm.201601450
10.1007_s11664-014-3507-5__sample_14354,unknown,p,In0.1Ge0.9Te,10.1007/s11664-014-3507-5,,1.822857,0.9871869847409536,1.1113670099043529,0.16985777073861566,0.45843969947124014,0.11173628878374442,2.0206455239151615,False,unknown,True,True,unknown,,unknown,,yes,yes,https://doi.org/10.1007/s11664-014-3507-5
10.1016_j.nanoen.2015.07.012__sample_14067,unknown,p,Cu2Se,10.1016/j.nanoen.2015.07.012,,1.822264,3.5572309907434425,1.9175615389338163,0.34125203418056455,0.3542926318643129,0.3412520341805423,0.8170469606602809,False,unknown,True,True,unknown,,unknown,,yes,yes,https://doi.org/10.1016/j.nanoen.2015.07.012
10.1016_j.mtphys.2021.100497__sample_45590,unknown,p,Ge0.89Al0.01Sb0.1Te,10.1016/j.mtphys.2021.100497,,1.81912,1.4523007361448117,1.8117834557154529,0.19787382053016694,0.19708843219380462,0.19787382053014976,1.5212459107849272,False,unknown,True,True,unknown,,unknown,,yes,yes,https://doi.org/10.1016/j.mtphys.2021.100497
10.1016_j.actamat.2016.04.050__sample_14481,unknown,p,Cu2Se,10.1016/j.actamat.2016.04.050,,1.816435,3.5233223703137058,1.889164603821867,0.3465435398115225,0.3472461795056543,0.33230611151661177,0.7978879041842661,False,unknown,True,True,unknown,,unknown,,yes,yes,https://doi.org/10.1016/j.actamat.2016.04.050
10.1016_j.jallcom.2019.07.120__sample_39347,unknown,p,Ge0.93Bi0.07Te,10.1016/j.jallcom.2019.07.120,,1.815133,2.498783040456067,1.8615109401387828,0.21580515363026792,0.23186010783258815,0.24132916802825632,2.005402484173661,False,unknown,True,True,unknown,,unknown,,yes,yes,https://doi.org/10.1016/j.jallcom.2019.07.120
