evaluation_source_step14,threshold,n_samples,n_observed_positive,n_predicted_positive,true_positive,false_positive,false_negative,true_negative,precision,recall,f1,accuracy,specificity,balanced_accuracy,false_negative_rate,false_positive_rate
step12_all_fit,0.5,7828,4391,3970,3617,353,774,3084,0.9110831234256926,0.8237303575495332,0.86520751106327,0.8560296371997956,0.8972941518766366,0.8605122547130849,0.17626964245046686,0.1027058481233634
step12_all_fit,1.0,7828,1653,1990,1289,701,364,5474,0.6477386934673367,0.779794313369631,0.7076585231951688,0.8639499233520695,0.8864777327935223,0.8331360230815766,0.22020568663036902,0.11352226720647773
step12_all_fit,1.5,7828,285,778,192,586,93,6957,0.2467866323907455,0.6736842105263158,0.36124176857949203,0.9132600919775166,0.9223120774227761,0.7979981439745459,0.3263157894736842,0.07768792257722391
step13_validation,0.5,4969,2990,2841,2587,254,403,1725,0.9105948609644492,0.8652173913043478,0.8873263591150745,0.8677802374723285,0.8716523496715513,,,
step13_validation,1.0,4969,1025,1518,851,667,174,3277,0.5606060606060606,0.8302439024390244,0.6692882422335824,0.8307506540551419,0.8308823529411765,,,
step13_validation,1.5,4969,216,755,156,599,60,4154,0.20662251655629138,0.7222222222222222,0.3213182286302781,0.8673777420004025,0.8739743320008416,,,
