sample_key,classification_case_step15,threshold_step15,material_system,n_or_p,composition,DOI,paper_title,zt_obs_max_step14,zt_pred_max_step14,zt_calc_from_obs_max_step14,zt_pred_vs_obs_mape_step14,zt_pred_vs_calc_mape_step14,nanocarbon_keyword_detected_step9,rare_metal_flag_auto_step9,toxicity_flag_auto_step9,manual_review_priority_score_step15,needs_manual_review_step15,needs_sintering_check_later_step15,sintering_check_reason_step15,doi_url
10.1016_j.mtener.2018.06.011__sample_40672,true_positive,1.0,unknown,p,(Bi0.5Sb1.5Te3)95.21(Ni)3.28(Cu)1.51,10.1016/j.mtener.2018.06.011,,1.157301,1.3354152838238216,1.0695150249606855,0.15593019208385644,0.1785587959900969,False,True,True,65,yes,yes,high observed ZT; important candidate for paper; high predicted ZT,https://doi.org/10.1016/j.mtener.2018.06.011
10.1016_j.mtener.2018.06.011__sample_40673,true_positive,1.0,unknown,p,(Bi0.5Sb1.5Te3)94.26(Ni)3.25(Cu)2.5,10.1016/j.mtener.2018.06.011,,1.157122,1.2326502605377476,1.18216383755113,0.11692868188847319,0.11483607148289755,False,True,True,65,yes,yes,high observed ZT; important candidate for paper; high predicted ZT,https://doi.org/10.1016/j.mtener.2018.06.011
10.1016_j.mtla.2018.08.018__sample_39968,false_positive,1.0,unknown,p,(Cu12Sb4S13)0.97(InSb)0.03,10.1016/j.mtla.2018.08.018,,0.7742224,1.1433443744713858,0.8917064915111799,0.11276708831404512,0.13666379610188914,False,True,True,65,yes,yes,high-ZT false positive; important candidate for paper; high predicted ZT; carried from Step14,https://doi.org/10.1016/j.mtla.2018.08.018
10.1016_j.mtphys.2017.09.001__sample_43310,false_positive,1.0,unknown,n,Bi2Te2.7Se0.3,10.1016/j.mtphys.2017.09.001,,0.9329283,1.115649277712617,0.9330899340392949,0.12624446902939274,0.12607628616813313,False,True,True,65,yes,yes,high-ZT false positive; important candidate for paper; high predicted ZT; carried from Step14,https://doi.org/10.1016/j.mtphys.2017.09.001
10.1016_j.mtphys.2017.09.001__sample_43312,false_positive,1.0,unknown,n,Ag0.003Bi2Te2.7Se0.3,10.1016/j.mtphys.2017.09.001,,0.9777778,1.0529817735711833,0.9732147315395918,0.08552864046842827,0.09044298420676058,False,True,True,65,yes,yes,high-ZT false positive; important candidate for paper; high predicted ZT; carried from Step14,https://doi.org/10.1016/j.mtphys.2017.09.001
10.1016_j.mtphys.2017.09.001__sample_43313,false_positive,1.0,unknown,n,Ag0.005Bi2Te2.7Se0.3,10.1016/j.mtphys.2017.09.001,,0.9750343,1.0542900778006294,0.9671474116706864,0.08656051903757148,0.08912732881224553,False,True,True,65,yes,yes,high-ZT false positive; important candidate for paper; high predicted ZT; carried from Step14,https://doi.org/10.1016/j.mtphys.2017.09.001
10.1016_j.mtphys.2017.09.001__sample_43315,false_positive,1.0,unknown,n,Ag0.007Bi2Te2.7Se0.3,10.1016/j.mtphys.2017.09.001,,0.9886299,1.0723418979140336,0.99755059103393,0.07736754376718505,0.08196499566638019,False,True,True,65,yes,yes,high-ZT false positive; important candidate for paper; high predicted ZT; carried from Step14,https://doi.org/10.1016/j.mtphys.2017.09.001
10.1016_j.mtphys.2017.09.001__sample_43318,false_positive,1.0,unknown,n,Ag0.009Bi2Te2.7Se0.3,10.1016/j.mtphys.2017.09.001,,0.9846365,1.048525535759867,0.9850749706833128,0.06731334294687756,0.07211354747738329,False,True,True,65,yes,yes,high-ZT false positive; important candidate for paper; high predicted ZT; carried from Step14,https://doi.org/10.1016/j.mtphys.2017.09.001
10.1016_j.mtphys.2017.09.001__sample_43319,false_positive,1.0,unknown,n,Ag0.011Bi2Te2.7Se0.3,10.1016/j.mtphys.2017.09.001,,0.9935811,1.0870509631067364,0.9936825843136992,0.09233191114999646,0.07721046746970035,False,True,True,65,yes,yes,high-ZT false positive; important candidate for paper; high predicted ZT; carried from Step14,https://doi.org/10.1016/j.mtphys.2017.09.001
10.1016_j.mtphys.2017.09.001__sample_43327,true_positive,1.0,unknown,n,Ag0.011Bi2Te2.7Se0.3,10.1016/j.mtphys.2017.09.001,,1.107002,1.188122390959791,1.1107367636677024,0.07124619915896782,0.07042410285601539,False,True,True,65,yes,yes,high observed ZT; important candidate for paper; high predicted ZT,https://doi.org/10.1016/j.mtphys.2017.09.001
