sample_key,target_log_tau_eff_step18,target_tau_eff_step18,target_available_step18,target_quality_step18,target_quality_note_step18,use_for_tau_eff_ml_step18,ml_exclusion_reason_step18
10.1109_ict.2003.1287510__sample_19154,-2.576619551956174,0.0760305875458107,True,low,ok,False,large validation error
10.1109_ict.2003.1287512__sample_12271,-0.1695328423541507,0.8440590331394575,True,medium,ok,True,ok
10.1109_ict.2003.1287512__sample_12272,0.1769275203716659,1.1935445823243145,True,medium,ok,True,ok
10.1109_ict.2003.1287512__sample_12274,0.5671138195546073,1.763170871432801,True,medium,ok,True,ok
10.1109_ict.2003.1287526__sample_7799,-4.453682196050722,0.0116356432724531,True,low,ok,True,ok
10.1109_ict.2005.1519880__sample_24217,-0.9373762290417064,0.391654099080162,True,low,ok,False,large validation error
10.1109_ict.2005.1519883__sample_16050,-5.058301093965145,0.0063563491849844,True,low,ok,False,large sigma fit error
10.1109_ict.2005.1519883__sample_16051,-5.105646012698989,0.0060624212487549,True,low,ok,False,large sigma fit error
10.1109_ict.2005.1519883__sample_16056,-1.6222527292159317,0.197453388672602,True,low,ok,False,large validation error
10.1109_ict.2005.1519883__sample_16059,-0.7941344829452311,0.4519722553760568,True,medium,ok,True,ok
10.1109_ict.2005.1519883__sample_16060,-2.201414807695737,0.1106465040451686,True,medium,ok,True,ok
10.1109_ict.2005.1519902__sample_5113,0.1087759953954377,1.1149125768163912,True,medium,ok,True,ok
10.1109_ict.2005.1519902__sample_5114,-0.7753492864667849,0.4605428915029637,True,medium,ok,True,ok
10.1109_ict.2005.1519902__sample_5115,-0.2311160975287208,0.7936473201938435,True,medium,ok,True,ok
10.1109_ict.2005.1519902__sample_5116,0.1164970709897597,1.12355421956057,True,medium,ok,True,ok
10.1109_ict.2005.1519902__sample_5117,0.3319787252858525,1.3937231971344857,True,medium,ok,True,ok
10.1109_ict.2005.1519905__sample_5121,-1.0838715467735105,0.3382833074793882,True,low,ok,False,large validation error
10.1109_ict.2005.1519908__sample_5122,-0.4808043565692098,0.6182858694395399,True,medium,ok,True,ok
10.1109_ict.2005.1519908__sample_5123,-1.2708463746713528,0.2805940335652975,True,medium,ok,True,ok
10.1109_ict.2005.1519908__sample_5124,-0.5419363791891509,0.5816209226067784,True,medium,ok,True,ok
10.1109_ict.2005.1519908__sample_5125,-0.8909948506779403,0.4102474147496677,True,medium,ok,True,ok
10.1109_ict.2005.1519908__sample_5126,-0.8483600893316673,0.428116429294713,True,medium,ok,True,ok
10.1109_ict.2005.1519916__sample_16063,-1.6956365733588934,0.1834823918414709,True,low,ok,True,ok
10.1109_ict.2005.1519916__sample_16064,2.058444144026077,7.833772102716532,True,medium,ok,True,ok
10.1109_ict.2005.1519916__sample_16065,-2.6095036737251616,0.0735710499479749,True,medium,ok,True,ok
10.1109_ict.2005.1519920__sample_9604,0.9956325164716306,2.706435665139741,True,medium,ok,True,ok
10.1109_ict.2005.1519920__sample_9605,1.0482896242695774,2.852767638427842,True,medium,ok,True,ok
10.1109_ict.2005.1519920__sample_9606,1.023754175805074,2.783625391604263,True,medium,ok,True,ok
10.1109_ict.2005.1519920__sample_9607,1.0494222355562246,2.8560005457213524,True,medium,ok,True,ok
10.1109_ict.2005.1519920__sample_9608,0.9616113334069728,2.615908179519713,True,medium,ok,True,ok
10.1109_ict.2005.1519920__sample_9609,1.1905187653023668,3.2887868734415027,True,medium,ok,True,ok
10.1109_ict.2005.1519920__sample_9611,0.740590543500133,2.0971736211310787,True,low,validation_sigma_log_rmse_step13 missing,True,ok
10.1109_ict.2005.1519920__sample_9612,0.7993830806583948,2.224168372669796,True,medium,ok,True,ok
10.1109_ict.2005.1519920__sample_9613,0.7497925307011057,2.116560849661874,True,medium,ok,True,ok
10.1109_ict.2005.1519920__sample_9614,1.0508379839219515,2.8600467873806434,True,medium,ok,True,ok
10.1109_ict.2005.1519920__sample_9615,1.166563149536176,3.2109381388467715,True,medium,ok,True,ok
10.1109_ict.2005.1519920__sample_9616,1.0984361710215242,2.9994716935836507,True,medium,ok,True,ok
10.1109_ict.2005.1519928__sample_2171,-1.9178390381976664,0.1469241167315397,True,low,ok,False,large sigma fit error
10.1109_ict.2005.1519928__sample_2172,-7.792841709853732,0.0004126785035748,True,low,ok,False,large sigma fit error
10.1109_ict.2005.1519928__sample_2173,-7.230976308317428,0.0007238138525913,True,low,ok,False,large sigma fit error
10.1109_ict.2005.1519928__sample_2174,-6.423996144457992,0.0016221608760413,True,low,ok,False,large validation error
10.1109_ict.2005.1519949__sample_16079,-2.6823932986713848,0.0683992582526876,True,medium,ok,True,ok
10.1109_ict.2005.1519949__sample_16080,-4.055071046404586,0.0173342486036775,True,low,ok,False,large sigma fit error
10.1109_ict.2005.1519955__sample_12277,-2.663211331374787,0.0697239551155193,True,low,ok,False,large validation error
10.1109_ict.2005.1519955__sample_12278,-2.442130451883362,0.0869753571253686,True,low,ok,False,large validation error
10.1109_ict.2005.1519956__sample_12286,-0.5005653477482273,0.6061878558807519,True,low,ok,False,large validation error
10.1109_ict.2005.1519956__sample_12288,-0.2002384960252445,0.8185355123306238,True,low,ok,True,ok
10.1109_ict.2005.1519956__sample_12289,0.1810439154145444,1.1984678093482215,True,low,ok,True,ok
10.1109_ict.2005.1519956__sample_12290,0.1478578050758086,1.1593480312363469,True,medium,ok,True,ok
10.1109_ict.2005.1519956__sample_12292,0.3808917758091577,1.4635892010812803,True,medium,ok,True,ok
10.1109_ict.2005.1519967__sample_12391,1.9939751752826824,7.344672168065837,True,medium,ok,True,ok
10.1109_ict.2005.1519967__sample_12392,1.8903528971861343,6.621705049849345,True,medium,ok,True,ok
10.1109_ict.2005.1519967__sample_12393,1.9205675075536972,6.824830513348734,True,medium,ok,True,ok
10.1109_ict.2005.1519967__sample_12394,1.9815535963456925,7.254004029489177,True,medium,ok,True,ok
10.1109_ict.2005.1519967__sample_12395,2.054328359394106,7.801596243759445,True,medium,ok,True,ok
10.1109_ict.2005.1519977__sample_15069,1.3185136469030114,3.737861464323945,True,medium,ok,True,ok
10.1109_ict.2005.1519977__sample_15070,1.1876480375959588,3.279359200458977,True,medium,ok,True,ok
10.1109_ict.2005.1519977__sample_15071,1.1982880203190378,3.3144378126739835,True,medium,ok,True,ok
10.1109_ict.2005.1519977__sample_15072,1.0041040151883112,2.72946062164736,True,medium,ok,True,ok
10.1109_ict.2005.1519977__sample_15073,0.9030440095731328,2.4671015734789066,True,medium,ok,True,ok
10.1109_ict.2005.1519980__sample_5128,-0.3419553245704941,0.7103799405292217,True,medium,ok,True,ok
10.1109_ict.2005.1519980__sample_5129,-0.4038551455887785,0.6677408394698807,True,medium,ok,True,ok
10.1109_ict.2005.1519980__sample_5130,-0.5286941357727118,0.5893741099393385,True,medium,ok,True,ok
10.1109_ict.2005.1519980__sample_5132,-0.0316749892572086,0.968821408281015,True,medium,ok,True,ok
10.1109_ict.2006.331215__sample_26161,1.4155857189902583,4.11889827652219,True,low,ok,True,ok
10.1109_ict.2006.331215__sample_26167,0.3733615476953964,1.4526094324966643,True,medium,ok,True,ok
10.1109_ict.2006.331230__sample_22014,-2.036344993533419,0.130504836248131,True,low,ok,False,large sigma fit error
10.1109_ict.2006.331230__sample_22015,-2.157996926124714,0.1155563572895093,True,low,ok,False,large sigma fit error
10.1109_ict.2006.331230__sample_22017,-1.7854201166845003,0.1677265814611013,True,low,ok,False,large sigma fit error
10.1109_ict.2006.331230__sample_22018,-1.8168259509808773,0.1625408456451895,True,low,ok,False,large sigma fit error
10.1109_ict.2006.331230__sample_22020,-1.024561987945021,0.3589536570064781,True,low,ok,False,large validation error
10.1109_ict.2006.331230__sample_22022,-1.1161672042139748,0.3275327580876098,True,low,ok,False,large validation error
10.1109_ict.2006.331230__sample_22023,-0.1587760601214869,0.8531874002602144,True,low,ok,True,ok
10.1109_ict.2006.331230__sample_22024,-0.3069779467244881,0.7356668245915277,True,low,ok,True,ok
10.1109_ict.2006.331231__sample_6445,-0.532874005262218,0.5869157444819204,True,medium,ok,True,ok
10.1109_ict.2006.331231__sample_6446,-2.1686717709320926,0.114329371700773,True,low,ok,True,ok
10.1109_ict.2006.331231__sample_6447,1.3104479743118254,3.707834354763262,True,medium,ok,True,ok
10.1109_ict.2006.331271__sample_29348,-0.9663925300776716,0.3804530383930944,True,low,ok,True,ok
10.1109_ict.2006.331271__sample_29349,-0.5375195115944262,0.5841955469139558,True,low,ok,True,ok
10.1109_ict.2006.331271__sample_29350,-0.91603356558592,0.4001028797433279,True,low,ok,True,ok
10.1109_ict.2006.331271__sample_29351,-1.117290432796457,0.3271650704693052,True,low,ok,True,ok
10.1109_ict.2006.331271__sample_29352,-1.1777442478446576,0.3079726656474876,True,low,ok,True,ok
10.1109_ict.2006.331277__sample_15776,-1.0064777111445469,0.3655041260240437,True,low,validation_sigma_log_rmse_step13 missing,True,ok
