sample_key,composition,material_system,n_or_p,fit_status_step12,n_fit_rows_step12,sigma_fit_log_rmse_step12,validation_sigma_log_rmse_step13,target_available_step18,target_quality_step18,ml_exclusion_reason_step18
10.1038_s41598-018-26362-z__sample_10763,Cu4Sn7S16,unknown,p,ok,16,1.770051597741079,1.9386286598038829,True,low,large sigma fit error
10.1038_s41598-019-43911-2__sample_26079,Cu1.99Ga0.01Te,unknown,p,ok,16,0.57105394822105,1.234823824338347,True,low,large validation error
10.1038_srep03449__sample_22499,SrNb0.15Ti0.85O3,unknown,n,ok,7,1.825652270142629,2.396378404064131,True,low,large sigma fit error
10.1038_srep14641__sample_4749,Ga0.20Co4Sb12,unknown,n,ok,67,1.371866126978144,1.5363711857594655,True,low,large sigma fit error
10.1038_srep23415__sample_25706,AgCrSe2,unknown,p,ok,33,0.8543818662238459,1.594253769310093,True,low,large validation error
10.1038_srep23415__sample_25707,AgCrSe2,unknown,p,ok,36,1.1299807625556604,2.197542655283952,True,low,large sigma fit error
10.1038_srep40224__sample_10694,CuIn3Se4.9Te0.1,unknown,p,ok,9,2.415818293239205,3.771685313947992,True,low,large sigma fit error
10.1038_srep40224__sample_10695,CuIn3Se4.5Te0.5,unknown,p,ok,9,2.233028709924398,3.5115641062293808,True,low,large sigma fit error
10.1038_srep40224__sample_10696,CuIn3Se4.95Te0.05,unknown,p,ok,10,2.382594155291581,3.7239009414967135,True,low,large sigma fit error
10.1038_srep40224__sample_10697,CuIn3Se4.8Te0.2,unknown,p,ok,9,1.723718915613149,2.465656104205834,True,low,large sigma fit error
10.1038_srep40224__sample_10698,CuIn3Se5,unknown,p,ok,6,2.0915151253422857,,True,low,large sigma fit error
10.1038_srep43262__sample_14442,SnSe,unknown,p,ok,22,2.3939691866399966,3.7844379078442185,True,low,large sigma fit error
10.1038_srep43262__sample_14443,SnS0.8Se0.2,unknown,p,ok,22,2.6328443848449443,4.183555449103679,True,low,large sigma fit error
10.1038_srep43262__sample_14444,SnS0.5Se0.5,unknown,p,ok,22,2.3850529650843497,3.974165345746256,True,low,large sigma fit error
10.1038_srep43262__sample_14445,SnS0.2Se0.8,unknown,p,ok,22,2.2884418237686743,3.961225077864028,True,low,large sigma fit error
10.1038_srep44621__sample_41150,Ca2.4Tb0.6Co4O9,unknown,p,ok,11,0.7225832982081808,1.0681840002950551,True,low,large validation error
10.1038_srep44621__sample_41151,Ca2.3Tb0.7Co4O9,unknown,p,ok,11,0.7155056470481342,1.0762574495510122,True,low,large validation error
10.1039_b913799h__sample_26406,Sr0.95La0.1Ti0.9Ta0.1O3,unknown,n,ok,33,0.9484960911918988,2.18793993241172,True,low,large validation error
10.1039_b914555a__sample_21361,CuSi2P3,unknown,p,ok,24,2.968146118427814,3.5763044218318223,True,low,large sigma fit error
10.1039_b918909b__sample_19668,FeSb2,unknown,p,ok,90,3.168833053866809,5.487294620882502,True,low,large sigma fit error
10.1039_b918909b__sample_19670,FeAs2,unknown,p,ok,68,4.428600770934839,4.866891906587527,True,low,large sigma fit error
10.1039_b918909b__sample_19671,RuSb2,unknown,p,ok,43,2.8646558212499578,1.7533019865945407,True,low,large sigma fit error
10.1039_b918909b__sample_19673,FeSb1.97As0.03,unknown,p,ok,29,2.858725871540013,4.884080697900878,True,low,large sigma fit error
10.1039_c0dt00742k__sample_12216,TiCoSb,unknown,n,ok,54,0.6779056586045118,1.3783871187945662,True,low,large validation error
10.1039_c0ee00456a__sample_109,Pb0.985Na0.015Te1,unknown,p,ok,19,0.6222301993195039,1.0510273128581726,True,low,large validation error
